file,phase,condition,model,question_id,repeat_idx,hop_diameter,gold_has_disp,step1_status,n_merge,code
llama_after_adaptive,after,adaptive,llama,89,0,1,False,ok,1.0,"import pandas as pd

def compute_feature(account, district):
    # Merge account with district on district_id
    merged = pd.merge(account, district, left_on='district_id', right_on='district_id', suffixes=('', '_district'))

    # Compute feature
    feature = merged[(merged['A2'] == 'Východní') & (merged['A14'] == 'Issuance after transaction')]

    return feature.shape[0]"
llama_after_adaptive,after,adaptive,llama,89,1,1,False,ok,1.0,"import pandas as pd

def compute_feature():
    # Merge district and account tables on district_id
    merged = pd.merge(account, district, left_on='district_id', right_on='district_id', how='inner')

    # Define East Bohemia region as district A2 = 23
    east_bohemia = merged[merged['A2'] == 23]

    # Assume account has columns 'issue_after_transaction' and 'region'
    # Compute feature as count of accounts who choose issuance after transaction
    # and are staying in East Bohemia region
    feature = east_bohemia['issue_after_transaction'].value_counts().sum()

    return feature"
llama_after_adaptive,after,adaptive,llama,89,2,1,False,ok,3.0,"import pandas as pd

def compute_feature(account, district, transaction, issuance):
    # Merge account with district on district_id
    merged = pd.merge(account, district, left_on='district_id', right_on='district_id', suffixes=('', '_district'))

    # Merge with transaction on account_id
    merged = pd.merge(merged, transaction, left_on='account_id', right_on='account_id', suffixes=('', '_transaction'))

    # Merge with issuance on account_id
    merged = pd.merge(merged, issuance, left_on='account_id', right_on='account_id', suffixes=('', '_issuance'))

    # Compute feature
    feature = (merged['A2'] == 'Východní Čechy') & (merged['A3'] == 'Východní Čechy') & (merged['A4'] == 'Východní Čechy') & (merged['A5'] == 'Východní Čechy') & (merged['A6'] == 'Východní Čechy') & (merged['A7'] == 'Východní Čechy') & (merged['A8'] == 'Východní Čechy') & (merged['A9'] == 'Východní Čechy') & (merged['A10'] == 'Východní Čechy') & (merged['A11'] == 'Východní Čechy') & (merged['A12'] == 'Východní Čechy') & (merged['A13'] == 'Východní Čechy') & (merged['A14'] == 'Východní Čechy') & (merged['A15'] == 'Východní Čechy') & (merged['A16'] == 'Východní Čechy') & (merged['transaction'] == 'true') & (merged['issuance'] == 'true')

    return feature"
llama_after_adaptive,after,adaptive,llama,89,3,1,False,ok,1.0,"import pandas as pd

def compute_feature():
    # Merge account and district tables based on district_id
    merged = pd.merge(account, district, left_on='district_id', right_on='district_id', suffixes=('', '_district'))

    # Define regions
    regions = {
        'East Bohemia': 'Pardubický kraj',
        'South Bohemia': 'Jihočeský kraj',
        'South Moravia': 'Jihomoravský kraj',
        'Southwest Bohemia': 'Plzeňský kraj',
        'Usti Region': 'Ústecký kraj',
        'West Bohemia': 'Karlovarský kraj',
        'West Moravia': 'Olomoucký kraj',
        'Central Bohemia': 'Středočeský kraj',
        'North Bohemia': 'Liberecký kraj',
        'North Moravia': 'Zlínský kraj',
        'Zlin Region': 'Zlínský kraj'
    }

    # Create new feature 'region' based on 'A2'
    merged['region'] = merged['A2'].map(regions)

    # Create new feature 'issuance_after_transaction'
    merged['issuance_after_transaction'] = merged['frequency'].str.startswith('T') & merged['A2'].isin(regions.keys())

    # Count accounts who choose issuance after transaction and stay in East Bohemia region
    result = merged[merged['region'] == 'Pardubický kraj'][['issuance_after_transaction']].value_counts().reset_index()
    result.columns = ['issuance_after_transaction', 'count']
    result['count'] = result['count'].astype(int)

    return result"
llama_after_adaptive,after,adaptive,llama,89,4,1,False,ok,2.0,"import pandas as pd

def compute_feature():
    east_bohemia = pd.DataFrame({'A2': ['East Bohemia']})

    accounts = pd.merge(account, district, left_on='district_id', right_on='district_id')
    accounts = pd.merge(accounts, east_bohemia, left_on='A2', right_on='A2', how='inner')

    transaction = accounts[accounts['date'].str.contains('Transaction')]
    issuance = accounts[accounts['date'].str.contains('Issuance')]

    accounts['issuance_after_transaction'] = transaction['account_id'].isin(issuance['account_id'])

    return accounts['issuance_after_transaction'].value_counts()"
llama_after_adaptive,after,adaptive,llama,90,0,2,False,ok,2.0,"import pandas as pd

def compute_feature(account, loan, district, client):
    # Merge account with district to get region information
    merged_account = pd.merge(account, district, left_on='district_id', right_on='district_id', suffixes=('', '_district'))

    # Filter for accounts in Prague region
    prague_accounts = merged_account[merged_account['A2'] == 1]

    # Merge with loan to get loan status
    merged_loan = pd.merge(prague_accounts, loan, left_on='account_id', right_on='account_id', suffixes=('', '_loan'))

    # Count eligible loans
    eligible_loans = merged_loan[merged_loan['status'] == 'E'].shape[0]

    return eligible_loans"
llama_after_adaptive,after,adaptive,llama,90,1,2,False,ok,2.0,"import pandas as pd

def compute_feature(account, loan, district, client):
    # Merge account and district on district_id
    merged_account_district = pd.merge(account, district, left_on='district_id', right_on='district_id', how='inner')

    # Extract region from merged table
    merged_account_district['region'] = merged_account_district['A2'] + merged_account_district['A3'] + merged_account_district['A4'] + merged_account_district['A5'] + merged_account_district['A6'] + merged_account_district['A7'] + merged_account_district['A8'] + merged_account_district['A9'] + merged_account_district['A10'] + merged_account_district['A11'] + merged_account_district['A12'] + merged_account_district['A13'] + merged_account_district['A14'] + merged_account_district['A15'] + merged_account_district['A16']

    # Filter for accounts in Prague
    prague_accounts = merged_account_district[merged_account_district['region'] == 'Prague']

    # Merge with loan on account_id
    merged_prague_accounts_loan = pd.merge(prague_accounts, loan, left_on='account_id', right_on='account_id', how='inner')

    # Compute feature: count of accounts eligible for loans
    feature = merged_prague_accounts_loan['status'].value_counts(normalize=True)

    return feature"
llama_after_adaptive,after,adaptive,llama,90,2,2,False,ok,3.0,"import pandas as pd

def compute_feature(account, district, loan, client):
    # Merge account and district to compute region
    merged_account_district = pd.merge(account, district, left_on='district_id', right_on='district_id')
    
    # Compute region (assuming A2 is the column for Prague)
    merged_account_district['region'] = merged_account_district['A2']
    
    # Merge with loan to filter eligible accounts
    merged_account_district_loan = pd.merge(merged_account_district, loan, left_on='account_id', right_on='account_id')
    
    # Merge with client to get client information
    merged_account_district_loan_client = pd.merge(merged_account_district_loan, client, left_on='account_id', right_on='account_id')
    
    # Filter accounts in Prague who are eligible for loans
    feature = merged_account_district_loan_client[
        merged_account_district_loan_client['A2'] == 'Prague'  # Assuming A2 is the column for Prague
        & merged_account_district_loan_client['status'] == 'Eligible'
    ]
    
    return feature"
llama_after_adaptive,after,adaptive,llama,90,3,2,False,ok,3.0,"import pandas as pd

def compute_feature():
    # Extract district from account and merge with district
    account = pd.merge(account, district, left_on='district_id', right_on='district_id', suffixes=('', '_district'))
    
    # Extract client from account and merge with client
    account = pd.merge(account, client, left_on='account_id', right_on='account_id', suffixes=('', '_client'))
    
    # Compute region
    account['A2'] = account['A2'].fillna('PRAGUE')
    account['region'] = account['A2']
    
    # Merge with loan
    loan_account = pd.merge(loan, account, left_on='account_id', right_on='account_id', suffixes=('', '_account'))
    
    # Compute feature
    feature = loan_account[loan_account['status'] == 'ELIGIBLE']
    feature = feature.groupby('region')['status'].count().reset_index()
    feature = feature.rename(columns={'status': 'count'})
    
    return feature"
llama_after_adaptive,after,adaptive,llama,90,4,2,False,ok,3.0,"import pandas as pd

def compute_feature_account_eligible_for_loans():
    # Merge account and client tables on client_id
    merged = pd.merge(account, client, left_on='account_id', right_on='client_id')
    
    # Merge merged with district table on district_id
    merged = pd.merge(merged, district, left_on='district_id', right_on='district_id')
    
    # Compute region
    merged['A2'] = merged['A2'].fillna(0)
    merged['region'] = merged['A2'].apply(lambda x: 'Praha' if x == 1 else 'Ne Praha')
    
    # Merge with loan table on account_id
    merged = pd.merge(merged, loan, left_on='account_id', right_on='account_id')
    
    # Compute feature
    feature = merged['region'].value_counts(normalize=True)
    
    return feature"
llama_after_adaptive,after,adaptive,llama,91,0,0,False,ok,1.0,"import pandas as pd

def compute_feature(df):
    df_95 = df[df['Year'] == 1995]
    df_96 = df[df['Year'] == 1996]
    
    avg_95 = df_95.groupby('District')['Unemployment Ratio'].mean().reset_index()
    avg_96 = df_96.groupby('District')['Unemployment Ratio'].mean().reset_index()
    
    merged = pd.merge(avg_95, avg_96, on='District', suffixes=('', '_96'))
    merged['Diff'] = merged['Unemployment Ratio'] - merged['Unemployment Ratio_96']
    
    result = merged['Diff'].mean()
    
    return result"
llama_after_adaptive,after,adaptive,llama,91,1,0,False,ok,1.0,"import pandas as pd

def compute_unemployment_ratio_feature(df_unemployment, df_district):
    # Merge district and unemployment data
    merged = pd.merge(df_district, df_unemployment, on='district_id', suffixes=('', '_year'))
    
    # Compute average unemployment ratio for 1995 and 1996
    merged['avg_ratio_1995'] = merged[merged['year'] == 1995]['ratio'].rolling(1).mean()
    merged['avg_ratio_1996'] = merged[merged['year'] == 1996]['ratio'].rolling(1).mean()
    
    # Compute feature answering the question
    merged['feature'] = merged.apply(lambda row: row['avg_ratio_1996'] if row['avg_ratio_1996'] > row['avg_ratio_1995'] else row['avg_ratio_1995'], axis=1)
    
    return merged[['feature']]"
llama_after_adaptive,after,adaptive,llama,91,2,0,False,ok,1.0,"import pandas as pd

def compute_feature(df_loan, df_district):
    # Merge loan and district tables on district_id
    merged = pd.merge(df_loan, df_district, on='district_id')
    
    # Extract unemployment ratios for 1995 and 1996
    merged['unemployment_95'] = merged['A16'].astype(float)
    merged['unemployment_96'] = merged['A15'].astype(float)
    
    # Compute average unemployment ratios for 1995 and 1996
    merged['avg_unemployment_95'] = merged['unemployment_95'] / 100
    merged['avg_unemployment_96'] = merged['unemployment_96'] / 100
    
    # Compute percentage difference
    merged['percentage_diff'] = (merged['avg_unemployment_96'] - merged['avg_unemployment_95']) / merged['avg_unemployment_95'] * 100
    
    # Return the feature as a pandas Series
    return merged['percentage_diff'].mean()"
