question_id,question,hop_diameter,repeat_idx,qwen_response,final_label,has_disp,hop_diameter_g,error_type
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,0,"```python
import pandas as pd

def count_accounts_in_east_bohemia():
    # Assuming 'card' DataFrame contains the 'issued' column and 'district' DataFrame contains the 'A1' column indicating the region
    east_bohemia_mask = (district['A1'] == 'East Bohemia')
    issued_after_transaction = card[card['issued'] > trans['date']]
    accounts_in_east_bohemia = issued_after_transaction[issued_after_transaction['district_id'].isin(district[east_bohemia_mask]['district_id'])]
    return len(accounts_in_east_bohemia)

# Call the function to get the result
result = count_accounts_in_east_bohemia()
print(result)
```",FA,False,1,overt
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,1,"```python
import pandas as pd

def count_accounts_in_east_bohemia():
    # Join the relevant tables to get the necessary information
    joined_data = pd.merge(
        account,
        disp,
        on='account_id'
    ).merge(
        card,
        on='card_id'
    ).merge(
        district,
        on='district_id'
    )

    # Filter the data to include only those with 'issuance' in the 'type' column of the 'card' table
    filtered_data = joined_data[joined_data['type'] == 'issuance']

    # Count the number of unique accounts in the 'East Bohemia' region
    east_bohemia_count = filtered_data[filtered_data['A1'] == 'East Bohemia'].shape[0]

    return east_bohemia_count
```",FA,False,1,overt
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,2,"```python
import pandas as pd

def count_accounts_in_east_bohemia():
    # Assuming 'district' DataFrame contains the necessary information about regions
    east_bohemia_regions = ['A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16']
    
    # Filter districts to only include those in East Bohemia
    filtered_districts = district[district['district_id'].isin(east_bohemia_regions)]
    
    # Merge the filtered districts with the 'account' DataFrame to get accounts in East Bohemia
    accounts_in_east_bohemia = pd.merge(filtered_districts, account, on='district_id')
    
    # Count the number of unique accounts
    count_of_accounts = len(accounts_in_east_bohemia['account_id'].unique())
    
    return count_of_accounts
```

This function first filters the `district` DataFrame to include only the regions considered part of East Bohemia. It then merges this filtered list with the `account` DataFrame to find all accounts located in these regions. Finally, it counts and returns the number of unique accounts found.",semantic,False,1,covert
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,3,"```python
import pandas as pd

def count_accounts_staying_in_east_bohemia():
    # Filter transactions to get those that occurred before loan issuance
    filtered_transactions = trans[trans['date'] < card['issued']].copy()
    
    # Merge filtered transactions with card data to get account IDs and their issuance dates
    merged_data = pd.merge(filtered_transactions, card, on='account_id')
    
    # Get unique account IDs from the merged data
    unique_account_ids = merged_data['account_id'].unique()
    
    # Filter the account DataFrame to include only those with unique account IDs
    filtered_accounts = account[account['account_id'].isin(unique_account_ids)].copy()
    
    # Merge filtered accounts with district data to get district information
    final_merged_data = pd.merge(filtered_accounts, district, on='district_id')
    
    # Count the number of accounts in the East Bohemia region
    east_bohemia_count = final_merged_data[final_merged_data['A1'] == 'East Bohemia'].shape[0]
    
    return east_bohemia_count
```",FA,False,1,overt
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,4,"```python
import pandas as pd

def count_accounts_staying_in_east_bohemia():
    # Assuming 'issued' column in 'card' table indicates issuance and 'district_id' in 'account' table indicates location
    # Assuming 'A16' column in 'district' table represents East Bohemia region
    east_bohemia_districts = ['A1', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16']
    
    # Filter cards issued in East Bohemia region
    issued_cards = card[card['disp_id'].isin(east_bohemia_districts)]
    
    # Get unique account IDs from these issued cards
    issued_account_ids = issued_cards['account_id'].unique()
    
    # Filter transactions to find those related to these account IDs
    relevant_transactions = trans[trans['account_id'].isin(issued_account_ids)]
    
    # Count distinct accounts that have transactions
    distinct_accounts_with_transactions = relevant_transactions['account_id'].nunique()
    
    return distinct_accounts_with_transactions
```",FA,False,1,overt
90,How many accounts who have region in Prague are eligible for loans?,2,0,"```python
import pandas as pd

def count_eligible_accounts(df_client, df_district):
    # Filter clients from Prague
    prague_clients = df_client[df_client['district_id'] == 'Prague']
    
    # Get unique account IDs of these clients
    eligible_account_ids = prague_clients['account_id'].unique()
    
    return len(eligible_account_ids)
```

In this solution, we first filter the `client` DataFrame to include only those records where the `district_id` is 'Prague'. We then extract the unique `account_id`s from these filtered records, which represent the accounts eligible for loans based on their region being Prague. Finally, we return the count of these unique account IDs.",FA,False,2,overt
90,How many accounts who have region in Prague are eligible for loans?,2,2,"```python
def count_eligible_accounts_for_loans(prague_district_code):
    # Join the district and account tables to get the district information for each account
    joined_table = pd.merge(account, district, on='district_id')
    
    # Filter the joined table to only include accounts from the specified district (Prague)
    prague_accounts = joined_table[joined_table['A1'] == prague_district_code]
    
    # Get the unique account IDs from the filtered table
    eligible_account_ids = prague_accounts['account_id'].unique()
    
    # Count the number of unique eligible account IDs
    eligible_count = len(eligible_account_ids)
    
    return eligible_count
```

In this solution, we first join the `account` and `district` tables using the `district_id` column. Then, we filter the joined table to only include rows where the `A1` column matches the specified district code for Prague. After filtering, we extract the unique `account_id`s from these rows, which represent the accounts located in Prague. Finally, we count the number of unique account IDs to determine how many accounts in Prague are eligible for loans.",FA,False,2,overt
90,How many accounts who have region in Prague are eligible for loans?,2,3,"```python
def count_eligible_accounts(prague_code):
    prague_districts = ['A' + str(i) for i in range(2, 16)]
    eligible_accounts = set()
    
    # Get all districts in Prague
    prague_distr = district[district[prague_code] == 1]
    
    # Get all clients from Prague districts
    prague_clients = client[client['district_id'].isin(prague_distr['district_id'])]['client_id']
    
    # Get all accounts of clients from Prague districts
    prague_accounts = disp[disp['client_id'].isin(prague_clients)]['account_id']
    
    # Get all loans associated with these accounts
    prague_loans = loan[loan['account_id'].isin(prague_accounts)]
    
    # Add account IDs to the set if they have at least one loan
    for index, row in prague_loans.iterrows():
        eligible_accounts.add(row['account_id'])
    
    return len(eligible_accounts)
```

In this solution, we first identify the districts in Prague based on the provided code (e.g., 'A2', 'A3', ..., 'A15'). We then filter the `client` DataFrame to get only those clients whose district ID is in the list of Prague districts. Next, we find all the accounts associated with these clients from the `disp` DataFrame. We then retrieve all the loans related to these accounts from the `loan` DataFrame. Finally, we iterate through the filtered loans and add each account ID to a set if it has at least one loan. The size of this set gives us the number of accounts eligible for loans in Prague.",FA,False,2,overt
92,List out the no. of districts that have female average salary is more than 6000 but less than 10000?,1,0,"```python
import pandas as pd

def count_districts_with_female_salary_range(df_client, df_loan):
    # Filter clients who have loans
    clients_with_loans = df_client[df_client['account_id'].isin(df_loan['account_id'])]
    
    # Group by district and calculate the average salary for female clients
    avg_salary_by_district = clients_with_loans[clients_with_loans['gender'] == 'F'].groupby('district_id')['amount'].mean()
    
    # Filter districts where the average salary is between 6000 and 10000
    filtered_districts = avg_salary_by_district[(avg_salary_by_district > 6000) & (avg_salary_by_district < 10000)]
    
    # Return the number of such districts
    return len(filtered_districts)
```",FA,False,1,overt
92,List out the no. of districts that have female average salary is more than 6000 but less than 10000?,1,1,"```python
import pandas as pd

def count_districts_with_female_salary_range(df_client, df_loan):
    # Calculate average loan amount per client
    avg_loan_per_client = df_loan.groupby('client_id')['amount'].mean().reset_index()
    
    # Merge client and average loan data
    merged_data = pd.merge(df_client, avg_loan_per_client, on='client_id')
    
    # Filter for female clients with average loan amount between 6000 and 10000
    filtered_data = merged_data[(merged_data['gender'] == 'F') & (merged_data['amount_x'] >= 6000) & (merged_data['amount_x'] < 10000)]
    
    # Get unique districts from the filtered data
    unique_districts = filtered_data['district_id'].nunique()
    
    return unique_districts
```",FA,False,1,overt
