question_id,repeat_idx,exec_ok,err,value_match
89,0,False,exec_error: KeyError: 'A15',
89,1,True,,False
89,2,False,exec_error: KeyError: 'A15',
89,3,True,,False
89,4,False,exec_error: KeyError: 'A2',
90,0,True,,False
90,1,False,exec_error: IndexError: index 0 is out of bounds for axis 0 with size 0,
90,2,True,,False
90,3,True,,False
90,4,True,,False
91,0,False,exec_error: FileNotFoundError: [Errno 2] No such file or directory: 'district.csv',
91,1,False,exec_error: KeyError: 'A2',
91,2,False,"exec_error: KeyError: ""None of [Index(['A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12',\n       'A13', 'A14', 'A15', 'A16'],\n      dtype='str')] are in",
91,3,False,exec_error: KeyError: 'A6',
91,4,False,exec_error: FileNotFoundError: [Errno 2] No such file or directory: 'district.csv',
92,0,True,,False
92,1,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
92,2,True,,False
92,3,False,exec_error: KeyError: 'gender',
92,4,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
93,0,False,exec_error: TypeError: '>' not supported between instances of 'str' and 'int',
93,1,True,,False
93,2,False,exec_error: KeyError: 'A1',
93,3,True,,False
93,4,False,exec_error: TypeError: '>' not supported between instances of 'str' and 'int',
94,0,False,exec_error: KeyError: 'account_id',
94,1,False,exec_error: FileNotFoundError: [Errno 2] No such file or directory: 'account.csv',
94,2,False,exec_error: KeyError: 'account_id',
94,3,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
94,4,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
95,0,False,exec_error: KeyError: 'district_id',
95,1,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
95,2,False,exec_error: KeyError: 'client_id',
95,3,False,exec_error: KeyError: 'account_id',
95,4,False,exec_error: KeyError: 'client_id',
96,0,True,,False
96,1,True,,False
96,2,True,,False
96,3,True,,False
96,4,True,,False
97,0,True,,False
97,1,True,,False
97,2,True,,False
97,3,True,,False
97,4,True,,False
98,0,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
98,1,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
98,2,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
98,3,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
98,4,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
99,0,True,,False
99,1,True,,False
99,2,False,exec_error: KeyError: 'date',
99,3,False,exec_error: TypeError: Invalid comparison between dtype=timedelta64[us] and DateOffset,
99,4,False,exec_error: KeyError: 'amount_x',
100,0,True,,False
100,1,True,,False
100,2,True,,False
100,3,True,,True
100,4,False,exec_error: KeyError: 'client_id_x',
101,0,True,,False
101,1,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
101,2,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
101,3,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
101,4,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
102,0,True,,True
102,1,True,,False
102,2,True,,False
102,3,False,exec_error: KeyError: 'date',
102,4,False,exec_error: KeyError: 'date',
103,0,False,exec_error: KeyError: 'client_id',
103,1,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
103,2,False,"exec_error: KeyError: ""None of ['disp_id'] are in the columns""",
103,3,False,exec_error: KeyError: 'client_id',
103,4,False,exec_error: KeyError: 'client_id',
104,0,False,exec_error: KeyError: 'currency',
104,1,True,,False
104,2,True,,False
104,3,False,exec_error: IndexError: single positional indexer is out-of-bounds,
104,4,False,exec_error: KeyError: 'date',
105,0,True,,True
105,1,True,,True
105,2,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
105,3,True,,True
105,4,False,exec_error: IndexError: single positional indexer is out-of-bounds,
106,0,False,exec_error: TypeError: unhashable type: 'DataFrame',
106,1,True,,False
106,2,False,exec_error: KeyError: 'disp_id',
106,3,False,exec_error: KeyError: 'account_id',
106,4,True,,False
107,0,True,,True
107,1,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
107,2,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
107,3,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
107,4,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
108,0,True,,True
108,1,True,,True
108,2,True,,False
108,3,True,,False
108,4,False,exec_error: IndexError: single positional indexer is out-of-bounds,
109,0,True,,True
109,1,True,,False
109,2,True,,True
109,3,True,,True
109,4,True,,True
110,0,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
110,1,False,exec_error: IndexError: single positional indexer is out-of-bounds,
110,2,False,exec_error: ValueError: DataFrame constructor not properly called!,
110,3,True,,False
110,4,True,,False
111,0,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
111,1,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
111,2,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
111,3,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
111,4,True,,True
112,0,False,exec_error: KeyError: 'A1',
112,1,False,exec_error: KeyError: 'client_id',
112,2,True,,False
112,3,False,exec_error: IndexError: single positional indexer is out-of-bounds,
112,4,True,,False
113,0,False,exec_error: UnboundLocalError: cannot access local variable 'client' where it is not associated with a value,
113,1,False,exec_error: KeyError: 'client_id',
113,2,False,exec_error: FileNotFoundError: [Errno 2] No such file or directory: 'loan.csv',
113,3,False,exec_error: KeyError: 'client_id',
113,4,False,exec_error: KeyError: 'account_id',
114,0,False,exec_error: IndexError: index 0 is out of bounds for axis 0 with size 0,
114,1,False,exec_error: IndexError: single positional indexer is out-of-bounds,
114,2,False,exec_error: IndexError: single positional indexer is out-of-bounds,
114,3,False,exec_error: IndexError: single positional indexer is out-of-bounds,
114,4,False,exec_error: NameError: name 'district_id' is not defined,
115,0,False,exec_error: IndexError: index 0 is out of bounds for axis 0 with size 0,
115,1,False,exec_error: ValueError: attempt to get argmax of an empty sequence,
115,2,False,exec_error: ValueError: attempt to get argmax of an empty sequence,
115,3,True,,False
115,4,False,exec_error: ValueError: attempt to get argmax of an empty sequence,
116,0,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
116,1,True,,False
116,2,False,exec_error: IndexError: index 0 is out of bounds for axis 0 with size 0,
116,3,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
116,4,False,exec_error: IndexError: single positional indexer is out-of-bounds,
117,0,False,exec_error: KeyError: 'status',
117,1,False,exec_error: KeyError: 'status',
117,2,False,exec_error: KeyError: 'status',
117,3,False,exec_error: KeyError: 'status',
117,4,False,exec_error: KeyError: 'status',
118,0,False,exec_error: KeyError: 'amount',
118,1,False,exec_error: KeyError: 'amount',
