question_id,question,hop_diameter,repeat_idx,response,step1_status,n_merge,used_tables_debug,step2_status,step2_result,step3_avoidance,step3_overjoin_tag,step4_label,step4_result,step4_gold,gold_has_disp
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,0,"```python
import pandas as pd

def count_accounts_east_bohemia(df_account, df_district):
    # Filter accounts who choose issuance after transaction
    df_account_filtered = df_account[(df_account['A15'] == 'Y') & (df_account['A16'] == 'Y')]

    # Filter accounts staying in East Bohemia region
    df_district_east_bohemia = df_district[df_district['A2'] == 'East Bohemia']

    # Merge filtered accounts with East Bohemia region
    df_account_east_bohemia = pd.merge(df_account_filtered, df_district_east_bohemia[['district_id']], on='district_id')

    # Count unique accounts staying in East Bohemia region
    count = df_account_east_bohemia['district_id'].nunique()

    return count
```

```python
# Example usage
count = count_accounts_east_bohemia(df_account, df_district)
print(count)
```",,1,"['account', 'district', 'trans']",call_error: 'A15',,,,,,,
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,1,"```python
import pandas as pd

def east_bohemia_staying_accounts(df_district, df_account):
    # Filter district to East Bohemia region
    east_bohemia_district = df_district[(df_district['A2'] == 1) & (df_district['A3'] == 0) & (df_district['A4'] == 0) & (df_district['A5'] == 0) & (df_district['A6'] == 0) & (df_district['A7'] == 0) & (df_district['A8'] == 0) & (df_district['A9'] == 0) & (df_district['A10'] == 0) & (df_district['A11'] == 0) & (df_district['A12'] == 0) & (df_district['A13'] == 0) & (df_district['A14'] == 0) & (df_district['A15'] == 0) & (df_district['A16'] == 0)]

    # Filter accounts that choose issuance after transaction
    issuance_after_transaction = df_account[df_account['frequency'] == 'IAT']

    # Merge district information with account data
    merged_data = pd.merge(east_bohemia_district[['district_id']], issuance_after_transaction, on='district_id')

    # Count accounts staying in East Bohemia region
    count = merged_data['district_id'].nunique()

    return count
```

You can use this function as follows:

```python
east_bohemia_count = east_bohemia_staying_accounts(df_district, df_account)
print(east_bohemia_count)
```",,1,"['account', 'district', 'trans']",,0,False,False,semantic,0,[[13]],False
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,2,"```python
import pandas as pd

def accounts_staying_in_east_bohemia(df_account, df_district):
    # Filter district of interest
    east_bohemia_districts = df_district[df_district['A2'] == 'Východní Čechy']
    east_bohemia_district_ids = east_bohemia_districts['district_id'].tolist()
    
    # Filter accounts staying in East Bohemia
    accounts_in_east_bohemia = df_account[df_account['district_id'].isin(east_bohemia_district_ids)]
    
    # Filter accounts who choose issuance after transaction
    accounts_with_issuance_after_transaction = accounts_in_east_bohemia[accounts_in_east_bohemia['A15'] == 1]
    
    # Count the number of accounts
    count = accounts_with_issuance_after_transaction['account_id'].nunique()
    
    return count
```

```python
# Example usage
count = accounts_staying_in_east_bohemia(df_account, df_district)
print(count)
```",,0,"['account', 'district', 'trans']",call_error: 'A15',,,,,,,
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,3,"```python
import pandas as pd

def count_accounts_east_bohemia(df_account, df_district):
    # Filter accounts where A2 is East Bohemia
    east_bohemia_districts = df_district[df_district['A2'] == 'Východní Čechy']
    east_bohemia_district_ids = east_bohemia_districts['district_id'].tolist()

    # Filter accounts staying in East Bohemia
    east_bohemia_accounts = df_account[df_account['district_id'].isin(east_bohemia_district_ids)]

    # Filter accounts who choose issuance after transaction
    accounts_issuance_after_transaction = east_bohemia_accounts[east_bohemia_accounts['frequency'] == 'Issuance after transaction']

    # Count accounts
    count = len(accounts_issuance_after_transaction)

    return count
```",,0,"['account', 'district', 'trans']",,0,True,False,,,,
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,4,"```python
import pandas as pd

def east_bohemia_issuance_after_transaction(df_district, df_account):
    # Filter accounts who choose issuance after transaction
    issuance_after_transaction = df_account[df_account['A2'] == 1]
    
    # Filter accounts who stay in East Bohemia region
    east_bohemia_region = df_district[df_district['A13'] == 1]
    
    # Merge accounts with district information
    merged_df = pd.merge(issuance_after_transaction, east_bohemia_region, on='district_id')
    
    # Count accounts who stay in East Bohemia region and choose issuance after transaction
    count = merged_df.shape[0]
    
    return count
```

```python
# Example usage
east_bohemia_count = east_bohemia_issuance_after_transaction(df_district, df_account)
print(east_bohemia_count)
```",,1,"['account', 'district', 'trans']",,0,False,False,rerun_error: call_error: 'A2',,,False
90,How many accounts who have region in Prague are eligible for loans?,2,0,"```python
import pandas as pd

def count_eligible_accounts(df_account, df_district, df_loan):
    # Merge account and district DataFrames
    merged_accounts = pd.merge(df_account, df_district, left_on='district_id', right_on='district_id')
    
    # Filter accounts in Prague
    prague_accounts = merged_accounts[merged_accounts['A2'] == 1]  # Assuming A2 is a binary variable for Prague
    
    # Filter accounts with active loans
    active_loans = df_loan[df_loan['status'] == 'active']
    
    # Merge accounts and active loans
    eligible_accounts = pd.merge(prague_accounts, active_loans, left_on='account_id', right_on='account_id')
    
    # Count eligible accounts
    count = len(eligible_accounts)
    
    return count
```",,2,"['account', 'district', 'loan']",call_error: 'A2',,,,,,,
90,How many accounts who have region in Prague are eligible for loans?,2,1,"```python
import pandas as pd

def accounts_eligible_for_loans(df_account, df_loan, df_district):
    # Merge account and district DataFrames
    df_account_district = pd.merge(df_account, df_district, on='district_id')
    
    # Merge account_district with loan DataFrame
    df_account_loan = pd.merge(df_account_district, df_loan, on='account_id')
    
    # Filter accounts with region in Prague
    prague_district_id = df_district.loc[df_district['A2'] == 'Prague', 'district_id'].values[0]
    df_prague_accounts = df_account_district[df_account_district['district_id'] == prague_district_id]
    
    # Filter accounts eligible for loans
    df_eligible_accounts = df_prague_accounts[df_prague_accounts['account_id'].isin(df_account_loan['account_id'])]
    
    # Count eligible accounts
    eligible_accounts_count = len(df_eligible_accounts)
    
    return eligible_accounts_count
```

```python
# Example usage:
accounts_eligible_for_loans(df_account, df_loan, df_district)
```

This code assumes that the DataFrames are already loaded and the function is called with the DataFrames as arguments. The function first merges the account and district DataFrames, then the merged DataFrame with the loan DataFrame, and filters the accounts with region in Prague. It then filters the accounts eligible for loans and returns the count of eligible accounts.",,2,"['account', 'district', 'loan']",call_error: index 0 is out of bounds for axis 0 with size 0,,,,,,,
90,How many accounts who have region in Prague are eligible for loans?,2,2,"```python
import pandas as pd

def count_eligible_accounts(df_account, df_district, df_loan):
    # Merge account and district DataFrames
    df_account_district = pd.merge(df_account, df_district, on='district_id')

    # Extract the district name from A2
    df_account_district['district_name'] = df_account_district['A2'].str.strip()

    # Filter accounts from Prague
    df_prague_accounts = df_account_district[df_account_district['district_name'] == 'Praha']

    # Filter eligible accounts
    df_eligible_accounts = df_prague_accounts[df_prague_accounts['frequency'] == 'monthly']

    # Return the count of eligible accounts
    return len(df_eligible_accounts)
```",,1,"['account', 'district', 'loan']",call_error: 'A2',,,,,,,
90,How many accounts who have region in Prague are eligible for loans?,2,3,"```python
import pandas as pd

def count_eligible_accounts(df_loan, df_account, df_district):
    # Merge loan and account DataFrames
    merged_df = pd.merge(df_loan, df_account, on='account_id')
    
    # Merge merged DataFrame with district DataFrame
    merged_df = pd.merge(merged_df, df_district, on='district_id')
    
    # Extract A2 column which contains region information
    prague_region = merged_df[(merged_df['A2'] == 'Prague') | (merged_df['A2'] == 'Praha')]['account_id']
    
    # Count eligible accounts
    eligible_count = prague_region.nunique()
    
    return eligible_count
```",,2,"['account', 'district', 'loan']",call_error: 'A2',,,,,,,
90,How many accounts who have region in Prague are eligible for loans?,2,4,"```python
import pandas as pd

def count_eligible_accounts(df_account, df_district, df_loan):
    # Merge account and district DataFrames to get district names
    df_account = pd.merge(df_account, df_district, on='district_id')
    
    # Define the districts that belong to Prague
    prague_districts = ['Praha 1', 'Praha 2', 'Praha 3', 'Praha 4', 'Praha 5', 'Praha 6', 'Praha 7', 'Praha 8', 'Praha 9', 'Praha 10', 'Praha 11', 'Praha 12']
    
    # Filter accounts from Prague districts
    df_account_praha = df_account[df_account['A2'].isin(prague_districts)]
    
    # Count eligible accounts (accounts with at least one approved loan)
    eligible_accounts = df_account_praha.merge(df_loan, on='account_id', how='left')
    eligible_accounts = eligible_accounts[eligible_accounts['status'].isin(['Approved'])]
    eligible_accounts_count = eligible_accounts['account_id'].nunique()
    
    return eligible_accounts_count
```

```python
# Example usage:
eligible_accounts_count = count_eligible_accounts(df_account, df_district, df_loan)
print(eligible_accounts_count)
```",,2,"['account', 'district', 'loan']",call_error: 'A2',,,,,,,
