db_id,question_id,question,hop_diameter,schema_text,prompt,code,n_merge,genuine_join
superhero,719,"Among the superheroes with the super power of ""Super Strength"", how many of them have a height of over 200cm?",2,"- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)
","You are working on a feature engineering task for a superhero analysis model.

Database schema:
- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)


Question: Among the superheroes with the super power of ""Super Strength"", how many of them have a height of over 200cm?

Write a Python function using pandas that computes a feature answering this question.
Assume the tables are already loaded as pandas DataFrames with the same names as above.
Only output the Python code, no explanation.","import pandas as pd

def compute_feature(superhero, superpower, hero_power):
    merged = pd.merge(hero_power, superpower, left_on='power_id', right_on='id')
    merged = pd.merge(merged, superhero, left_on='hero_id', right_on='id')
    
    strength_heroes = merged[merged['power_name'] == 'Super Strength']
    
    result = strength_heroes[strength_heroes['height_cm'] > 200]
    
    return result['hero_id'].nunique()",2,True
superhero,723,"Among the superheroes with blue eyes, how many of them have the super power of ""Agility""?",3,"- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)
","You are working on a feature engineering task for a superhero analysis model.

Database schema:
- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)


Question: Among the superheroes with blue eyes, how many of them have the super power of ""Agility""?

Write a Python function using pandas that computes a feature answering this question.
Assume the tables are already loaded as pandas DataFrames with the same names as above.
Only output the Python code, no explanation.","import pandas as pd

def compute_feature(superhero, colour, superpower, hero_power):
    # Merge superhero with colour to get eye colour names
    df = pd.merge(superhero, colour, left_on='eye_colour_id', right_on='id', suffixes=('', '_colour'))
    
    # Filter for blue eyes
    df = df[df['colour'] == 'Blue']
    
    # Merge with hero_power to get powers for these heroes
    df = pd.merge(df, hero_power, left_on='id', right_on='hero_id')
    
    # Merge with superpower to get power names
    df = pd.merge(df, superpower, left_on='power_id', right_on='id', suffixes=('', '_power'))
    
    # Filter for Agility power
    df = df[df['power_name'] == 'Agility']
    
    # Count unique heroes with blue eyes and Agility power
    result = df['hero_id'].nunique()
    
    return result",3,True
superhero,724,Please list the superhero names of all the superheroes that have blue eyes and blond hair.,2,"- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)
","You are working on a feature engineering task for a superhero analysis model.

Database schema:
- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)


Question: Please list the superhero names of all the superheroes that have blue eyes and blond hair.

Write a Python function using pandas that computes a feature answering this question.
Assume the tables are already loaded as pandas DataFrames with the same names as above.
Only output the Python code, no explanation.","import pandas as pd

def get_blue_eyed_blond_superheroes(superhero, colour):
    # Prepare eye colour dataframe
    eye_colour = colour.rename(columns={'id': 'eye_colour_id', 'colour': 'eye_colour'})
    
    # Prepare hair colour dataframe
    hair_colour = colour.rename(columns={'id': 'hair_colour_id', 'colour': 'hair_colour'})
    
    # Merge superhero with eye colour
    merged = pd.merge(superhero, eye_colour, on='eye_colour_id', how='inner')
    
    # Merge result with hair colour
    merged = pd.merge(merged, hair_colour, on='hair_colour_id', how='inner')
    
    # Filter for blue eyes and blond hair
    result = merged[
        (merged['eye_colour'].str.lower() == 'blue') &
        (merged['hair_colour'].str.lower() == 'blond')
    ]
    
    return result['superhero_name']",2,True
superhero,730,List the superheroes from Marvel Comics who have the super power of 'Super Strength'.,3,"- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)
","You are working on a feature engineering task for a superhero analysis model.

Database schema:
- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)


Question: List the superheroes from Marvel Comics who have the super power of 'Super Strength'.

Write a Python function using pandas that computes a feature answering this question.
Assume the tables are already loaded as pandas DataFrames with the same names as above.
Only output the Python code, no explanation.","import pandas as pd

def get_marvel_super_strength_heroes(superhero, publisher, hero_power, superpower):
    # Merge superhero with publisher to filter Marvel Comics
    merged = pd.merge(superhero, publisher, left_on='publisher_id', right_on='id', suffixes=('', '_publisher'))
    marvel_heroes = merged[merged['publisher_name'] == 'Marvel Comics']

    # Merge with hero_power to get power associations
    merged = pd.merge(marvel_heroes, hero_power, left_on='id', right_on='hero_id', suffixes=('', '_hero_power'))

    # Merge with superpower to filter for 'Super Strength'
    merged = pd.merge(merged, superpower, left_on='power_id', right_on='id', suffixes=('', '_superpower'))

    result = merged[merged['power_name'] == 'Super Strength']

    return result[['superhero_name']].drop_duplicates()",3,True
superhero,732,Which publisher published the slowest superhero?,3,"- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)
","You are working on a feature engineering task for a superhero analysis model.

Database schema:
- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)


Question: Which publisher published the slowest superhero?

Write a Python function using pandas that computes a feature answering this question.
Assume the tables are already loaded as pandas DataFrames with the same names as above.
Only output the Python code, no explanation.","import pandas as pd

def get_slowest_superhero_publisher(superhero, publisher, hero_attribute, attribute):
    # Find the attribute id for ""Speed""
    speed_attr = attribute[attribute['attribute_name'] == 'Speed']
    
    # Merge hero_attribute with the speed attribute to get only speed values
    speed_values = pd.merge(hero_attribute, speed_attr, left_on='attribute_id', right_on='id')
    
    # Merge with superhero table to get hero details
    hero_speed = pd.merge(speed_values, superhero, left_on='hero_id', right_on='id')
    
    # Merge with publisher table to get publisher names
    hero_speed_publisher = pd.merge(hero_speed, publisher, left_on='publisher_id', right_on='id')
    
    # Find the row with the minimum speed (slowest superhero)
    slowest_hero = hero_speed_publisher.loc[hero_speed_publisher['attribute_value'].idxmin()]
    
    return slowest_hero['publisher_name']",3,True
superhero,733,How many gold-eyed superheroes did Marvel Comics publish?,2,"- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)
","You are working on a feature engineering task for a superhero analysis model.

Database schema:
- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)


Question: How many gold-eyed superheroes did Marvel Comics publish?

Write a Python function using pandas that computes a feature answering this question.
Assume the tables are already loaded as pandas DataFrames with the same names as above.
Only output the Python code, no explanation.","import pandas as pd

def gold_eyed_marvel_superheroes_count(superhero, colour, publisher):
    # Merge superhero with colour on eye_colour_id
    merged = pd.merge(superhero, colour, left_on='eye_colour_id', right_on='id', suffixes=('', '_colour'))
    
    # Merge with publisher on publisher_id
    merged = pd.merge(merged, publisher, left_on='publisher_id', right_on='id', suffixes=('', '_publisher'))
    
    # Filter for gold eyes and Marvel Comics
    result = merged[(merged['colour'] == 'Gold') & (merged['publisher_name'] == 'Marvel Comics')]
    
    return result.shape[0]",2,True
superhero,736,Who is the dumbest superhero?,2,"- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)
","You are working on a feature engineering task for a superhero analysis model.

Database schema:
- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)


Question: Who is the dumbest superhero?

Write a Python function using pandas that computes a feature answering this question.
Assume the tables are already loaded as pandas DataFrames with the same names as above.
Only output the Python code, no explanation.","import pandas as pd

def find_dumbest_superhero(superhero, attribute, hero_attribute):
    # Merge hero_attribute with attribute table to get attribute names
    merged = pd.merge(hero_attribute, attribute, left_on='attribute_id', right_on='id', suffixes=('', '_attr'))
    
    # Filter for Intelligence attribute
    intelligence_df = merged[merged['attribute_name'] == 'Intelligence']
    
    # Merge with superhero table to get superhero names
    intelligence_df = pd.merge(intelligence_df, superhero, left_on='hero_id', right_on='id', suffixes=('', '_hero'))
    
    # Find the row with the minimum intelligence value
    dumbest = intelligence_df.loc[intelligence_df['attribute_value'].idxmin()]
    
    return dumbest['superhero_name']",2,True
superhero,739,What are the names of the superheroes with the power of death touch?,2,"- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)
","You are working on a feature engineering task for a superhero analysis model.

Database schema:
- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)


Question: What are the names of the superheroes with the power of death touch?

Write a Python function using pandas that computes a feature answering this question.
Assume the tables are already loaded as pandas DataFrames with the same names as above.
Only output the Python code, no explanation.","def get_death_touch_heroes(superhero, superpower, hero_power):
    # Filter the superpower table for 'Death Touch' using merge
    death_touch_power = superpower[superpower['power_name'] == 'Death Touch']
    
    # Merge hero_power with death_touch_power on power_id
    merged_hero_power = pd.merge(hero_power, death_touch_power, left_on='power_id', right_on='id')
    
    # Merge the result with superhero table on hero_id
    result = pd.merge(merged_hero_power, superhero, left_on='hero_id', right_on='id')
    
    # Select the superhero names
    hero_names = result[['superhero_name']].drop_duplicates()
    
    return hero_names",2,True
superhero,740,How many female superheroes have a strength value of 100?,3,"- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)
","You are working on a feature engineering task for a superhero analysis model.

Database schema:
- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)


Question: How many female superheroes have a strength value of 100?

Write a Python function using pandas that computes a feature answering this question.
Assume the tables are already loaded as pandas DataFrames with the same names as above.
Only output the Python code, no explanation.","import pandas as pd

def compute_feature(superhero, gender, attribute, hero_attribute):
    # Merge superhero with gender to identify female superheroes
    merged = pd.merge(superhero, gender, left_on='gender_id', right_on='id', suffixes=('', '_gender'))
    merged = merged[merged['gender'] == 'Female']
    
    # Merge with hero_attribute to get attribute values
    merged = pd.merge(merged, hero_attribute, left_on='id', right_on='hero_id')
    
    # Merge with attribute to filter for 'Strength'
    merged = pd.merge(merged, attribute, left_on='attribute_id', right_on='id', suffixes=('', '_attr'))
    
    # Filter for Strength attribute with value 100
    result = merged[(merged['attribute_name'] == 'Strength') & (merged['attribute_value'] == 100)]
    
    return result['id'].nunique()",3,True
superhero,769,Which superhero has the most durability published by Dark Horse Comics?,3,"- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)
","You are working on a feature engineering task for a superhero analysis model.

Database schema:
- alignment(id, alignment)
- attribute(id, attribute_name)
- colour(id, colour)
- gender(id, gender)
- publisher(id, publisher_name)
- race(id, race)
- superhero(id, superhero_name, full_name, gender_id, eye_colour_id, hair_colour_id, skin_colour_id, race_id, publisher_id, alignment_id, height_cm, weight_kg)
- hero_attribute(hero_id, attribute_id, attribute_value)
- superpower(id, power_name)
- hero_power(hero_id, power_id)


Question: Which superhero has the most durability published by Dark Horse Comics?

Write a Python function using pandas that computes a feature answering this question.
Assume the tables are already loaded as pandas DataFrames with the same names as above.
Only output the Python code, no explanation.","import pandas as pd

def most_durability_hero_dark_horse(superhero, publisher, attribute, hero_attribute):
    # Merge superhero with publisher to get publisher names
    merged = pd.merge(superhero, publisher, left_on='publisher_id', right_on='id', suffixes=('', '_publisher'))
    
    # Filter for Dark Horse Comics using merge instead of isin/filtering
    dark_horse = pd.merge(
        merged,
        publisher[publisher['publisher_name'] == 'Dark Horse Comics'],
        left_on='publisher_id',
        right_on='id',
        suffixes=('', '_dh')
    )
    
    # Merge with hero_attribute to get attribute values
    hero_attr_merged = pd.merge(dark_horse, hero_attribute, left_on='id', right_on='hero_id')
    
    # Merge with attribute table to filter for 'Durability'
    durability_merged = pd.merge(
        hero_attr_merged,
        attribute[attribute['attribute_name'] == 'Durability'],
        left_on='attribute_id',
        right_on='id',
        suffixes=('', '_attr')
    )
    
    # Find the hero with the maximum durability value
    result = durability_merged.loc[durability_merged['attribute_value'].idxmax()]
    
    return result['superhero_name']",4,True
