question_id,question,hop_diameter,repeat_idx,llama_response
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,0,"```python
import pandas as pd

def accounts_issuance_after_transaction_in_east_bohemia(df_account, df_card, df_client, df_district, df_loan, df_order, df_trans):
    # Filter accounts who choose issuance after transaction
    issuance_after_transaction = df_trans[df_trans['operation'] == 'ISSUANCE AFTER TRANSACTION']

    # Filter accounts who are staying in East Bohemia region
    east_bohemia_accounts = df_account[df_account['district_id'] == 1]

    # Merge the two dataframes
    accounts_in_east_bohemia = pd.merge(east_bohemia_accounts, issuance_after_transaction, on='account_id', how='inner')

    # Count the number of accounts
    count = accounts_in_east_bohemia.shape[0]

    return count
```

```python
import pandas as pd

def accounts_issuance_after_transaction_in_east_bohemia(df_account, df_card, df_client, df_district, df_loan, df_order, df_trans):
    # Filter accounts who choose issuance after transaction
    issuance_after_transaction = df_trans[df_trans['operation'] == 'ISSUANCE AFTER TRANSACTION']

    # Filter accounts who are staying in East Bohemia region
    east_bohemia_accounts = df_account[df_account['district_id'] == 1]

    # Merge the two dataframes
    accounts_in_east_bohemia = pd.merge(east_bohemia_accounts, issuance_after_transaction, on='account_id', how='inner', suffixes=('_account', '_transaction'))

    # Group by account_id and count the number of accounts
    count = accounts_in_east_bohemia['account_id_account'].nunique()

    return count
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,1,"```python
import pandas as pd

def accounts_in_east_bohemia_issued_after_transaction(df_account, df_district, df_card):
    # Filter accounts who choose issuance after transaction
    issued_after_transaction = df_account[df_account['type'] == 'issue'].merge(df_card, on='disp_id')
    
    # Filter accounts staying in East Bohemia region
    east_bohemia = df_district[df_district['A2'] == 1]  # Assuming A2 is the column for East Bohemia region
    accounts_in_east_bohemia = df_account[df_account['district_id'].isin(east_bohemia['district_id'])]
    
    # Compute the feature
    feature = issued_after_transaction.merge(accounts_in_east_bohemia, on='account_id', how='inner', suffixes=('_issued', '_east_bohemia'))
    feature = feature[feature['account_id'] == feature['account_id_issued']]
    
    # Count the number of accounts
    count = feature['account_id'].nunique()
    
    return count
```

```python
# Load DataFrames
account = pd.read_csv('account.csv')
district = pd.read_csv('district.csv')
card = pd.read_csv('card.csv')

# Compute the feature
count = accounts_in_east_bohemia_issued_after_transaction(account, district, card)
print(count)
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,2,"```python
import pandas as pd

def count_accounts_staying_in_east_bohemia_after_transaction(df_account, df_district, df_loan, df_trans):
    # Filter accounts staying in East Bohemia region
    east_bohemia_accounts = df_account[df_account['district_id'].isin(df_district[df_district['A2'] == 1]['district_id'])]

    # Filter transactions after issuance
    transactions_after_issuance = df_trans[df_trans['date'] > df_account['date']]

    # Merge accounts and transactions after issuance
    merged_data = pd.merge(east_bohemia_accounts, transactions_after_issuance, on='account_id', how='inner')

    # Count accounts who choose issuance after transaction
    count = merged_data['account_id'].nunique()

    return count
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,3,"```python
import pandas as pd

def accounts_in_east_bohemia_after_issuance(df_account, df_card, df_loan, df_district):
    # Filter accounts with issuance after transaction
    accounts_issuance_after_transaction = df_account[df_account['frequency'] == 'issuance'].merge(df_card, on='account_id')
    
    # Filter accounts in East Bohemia region
    east_bohemia_district_id = df_district[df_district['A2'] == 'East Bohemia']['district_id'].unique()[0]
    accounts_in_east_bohemia = df_account[df_account['district_id'] == east_bohemia_district_id]
    
    # Merge accounts with issuance after transaction and accounts in East Bohemia
    accounts_in_east_bohemia_after_issuance = accounts_issuance_after_transaction.merge(accounts_in_east_bohemia, on='account_id')
    
    # Count the number of accounts
    count = len(accounts_in_east_bohemia_after_issuance)
    
    return count
```

```python
# Apply the function to the DataFrames
count = accounts_in_east_bohemia_after_issuance(df_account, df_card, df_loan, df_district)
print(count)
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,4,"```python
import pandas as pd

def accounts_in_east_bohemia_issuance_after_transaction(df_account, df_card, df_client, df_district, df_loan, df_order, df_trans):
    # Filter accounts who have issued a card
    issued_accounts = df_card[df_card['type'] == 'ISSUE'].groupby('account_id')['type'].count().reset_index()
    issued_accounts = issued_accounts[issued_accounts['type'] == 1]['account_id'].unique()

    # Filter accounts who have a transaction after issuance
    transactions_after_issuance = df_trans[df_trans['date'] > df_trans[df_trans['account_id'].isin(issued_accounts)]['date'].min()]
    transactions_after_issuance = transactions_after_issuance[transactions_after_issuance['type'] == 'ISSUE'].groupby('account_id')['type'].count().reset_index()
    transactions_after_issuance = transactions_after_issuance[transactions_after_issuance['type'] == 1]['account_id'].unique()

    # Filter accounts who stay in East Bohemia region
    east_bohemia_districts = df_district[df_district['A2'] == 'East Bohemia'].groupby('district_id')['A2'].count().reset_index()
    east_bohemia_districts = east_bohemia_districts[east_bohemia_districts['A2'] == 1]['district_id'].unique()

    # Filter accounts who stay in East Bohemia region and have issued a card and transaction after issuance
    accounts_in_east_bohemia_issuance_after_transaction = df_account[df_account['district_id'].isin(east_bohemia_districts) & df_account['account_id'].isin(transactions_after_issuance) & df_account['account_id'].isin(issued_accounts)]

    return accounts_in_east_bohemia_issuance_after_transaction.shape[0]
```

This function filters the accounts who have issued a card, have a transaction after issuance, and stay in East Bohemia region. It returns the number of such accounts."
90,How many accounts who have region in Prague are eligible for loans?,2,0,"```python
import pandas as pd

def eligible_accounts_for_loans(df_account, df_district):
    # Merge account and district DataFrames based on district_id
    df_account_district = pd.merge(df_account, df_district, on='district_id')

    # Filter accounts in Prague region
    df_prague_accounts = df_account_district[df_account_district['A1'] == 1]

    # Count eligible accounts
    eligible_accounts = len(df_prague_accounts)

    return eligible_accounts

# Usage
eligible_accounts = eligible_accounts_for_loans(df_account, df_district)
print(eligible_accounts)
```"
90,How many accounts who have region in Prague are eligible for loans?,2,1,"```python
import pandas as pd

def count_eligible_accounts(df_account, df_district, df_loan):
    # Merge account and district DataFrames
    df_account_district = pd.merge(df_account, df_district, left_on='district_id', right_on='district_id')
    
    # Filter accounts from Prague
    df_prague_accounts = df_account_district[df_account_district['A2'] == 'Praha']
    
    # Merge accounts with loan DataFrame
    df_eligible_accounts = pd.merge(df_prague_accounts, df_loan, left_on='account_id', right_on='account_id', how='inner')
    
    # Count eligible accounts
    eligible_accounts_count = df_eligible_accounts['account_id'].nunique()
    
    return eligible_accounts_count
```

```python
# Example usage
eligible_accounts_count = count_eligible_accounts(df_account, df_district, df_loan)
print(eligible_accounts_count)
```

Note: The function assumes that the `A2` column in the `district` DataFrame contains the region names and 'Praha' is the name of the region that represents Prague. If the region name is different, replace `'Praha'` with the actual region name."
90,How many accounts who have region in Prague are eligible for loans?,2,2,"```python
import pandas as pd

def eligible_accounts_for_loans(df_account, df_district):
    # Merge account and district DataFrames on district_id
    df_account_district = pd.merge(df_account, df_district, on='district_id')
    
    # Extract region from district DataFrame
    df_account_district['region'] = df_account_district['A1']
    
    # Replace '1' with 'Prague' and '2' with 'Prague' in region column
    df_account_district['region'] = df_account_district['region'].replace({1: 'Prague', 2: 'Prague'})
    
    # Create a new column 'eligible_for_loan' which is True if account_id exists in loan DataFrame
    df_account_district['eligible_for_loan'] = df_account_district['account_id'].isin(df_loan['account_id'])
    
    # Group by 'region' and count the number of 'account_id's that are eligible for loans
    eligible_accounts = df_account_district.groupby('region')['eligible_for_loan'].sum().reset_index()
    
    return eligible_accounts
```

```python
import pandas as pd

def eligible_accounts_for_loans(df_account, df_district, df_loan):
    # Merge account and district DataFrames on district_id
    df_account_district = pd.merge(df_account, df_district, on='district_id')
    
    # Extract region from district DataFrame
    df_account_district['region'] = df_account_district['A1']
    
    # Replace '1' with 'Prague' and '2' with 'Prague' in region column
    df_account_district['region'] = df_account_district['region'].replace({1: 'Prague', 2: 'Prague'})
    
    # Create a new column 'eligible_for_loan' which is True if account_id exists in loan DataFrame
    df_account_district['eligible_for_loan'] = df_account_district['account_id'].isin(df_loan['account_id'])
    
    # Count the number of accounts in each region that are eligible for loans
    eligible_accounts = df_account_district.groupby('region')['eligible_for_loan'].sum().reset_index()
    
    return eligible_accounts

# Assuming all DataFrames are loaded
df_account = pd.DataFrame(account)
df_district = pd.DataFrame(district)
df_loan = pd.DataFrame(loan)

eligible_accounts = eligible_accounts_for_loans(df_account, df_district, df_loan)
print(eligible_accounts)
```

```python
import pandas as pd

def eligible_accounts_for_loans(df_account, df_district, df_loan):
    # Merge account and district DataFrames on district_id
    df_account_district = pd.merge(df_account, df_district, on='district_id')
    
    # Extract region from district DataFrame
    df_account_district['region'] = df_account_district['A1']
    
    # Replace '1' with 'Prague' and '2' with 'Prague' in region column
    df_account_district['region'] = df_account_district['region'].replace({1: 'Prague', 2: 'Prague'})
    
    # Count the number of accounts in each region that are eligible for loans
    eligible_accounts = df_account_district.groupby('region').size().reset_index(name='eligible_accounts')
    
    return eligible_accounts

# Assuming all DataFrames are loaded
df_account = pd.DataFrame(account)
df_district = pd.DataFrame(district)
df_loan = pd.DataFrame(loan)

eligible_accounts = eligible_accounts_for_loans(df_account, df_district, df_loan)
print(eligible_accounts)
```"
90,How many accounts who have region in Prague are eligible for loans?,2,3,"```python
import pandas as pd

def count_eligible_accounts(df_account, df_district, df_loan):
    # Merge account and district DataFrames
    merged_account_district = pd.merge(df_account, df_district, left_on='district_id', right_on='district_id', how='left')
    
    # Filter accounts in Prague
    prague_accounts = merged_account_district[merged_account_district['A2'] == 'Praha']
    
    # Merge accounts with loans
    merged_accounts_loans = pd.merge(prague_accounts, df_loan, left_on='account_id', right_on='account_id', how='left')
    
    # Count eligible accounts
    eligible_accounts = merged_accounts_loans[merged_accounts_loans['status'].notna()]
    count = len(eligible_accounts)
    
    return count
```

```python
# Usage
count = count_eligible_accounts(df_account, df_district, df_loan)
print(count)
```"
90,How many accounts who have region in Prague are eligible for loans?,2,4,"```python
import pandas as pd

def count_eligible_accounts(df_account, df_district, df_loan):
    # Filter accounts with region in Prague
    prague_accounts = df_account[df_account['district_id'].isin(df_district[df_district['A2'] == 'Praha']['district_id'])]
    
    # Filter loans
    eligible_loans = df_loan[df_loan['status'] == 'approved']
    
    # Count eligible accounts
    eligible_accounts_count = prague_accounts[prague_accounts['account_id'].isin(eligible_loans['account_id'])].shape[0]
    
    return eligible_accounts_count
```

You can use this function with your DataFrames like this:

```python
eligible_accounts_count = count_eligible_accounts(df_account, df_district, df_loan)
print(eligible_accounts_count)
```"
91,"The average unemployment ratio of 1995 and 1996, which one has higher percentage?",0,0,"```python
import pandas as pd

def average_unemployment_ratio(df_district):
    # Extract years from date column
    df_district['year'] = pd.to_datetime(df_district['date']).dt.year
    
    # Filter for 1995 and 1996
    df_1995 = df_district[df_district['year'] == 1995]
    df_1996 = df_district[df_district['year'] == 1996]
    
    # Calculate average unemployment ratio for each year
    avg_ratio_1995 = df_1995['A2'].mean()
    avg_ratio_1996 = df_1996['A2'].mean()
    
    # Compare the two averages
    if avg_ratio_1995 > avg_ratio_1996:
        return '1995'
    elif avg_ratio_1995 < avg_ratio_1996:
        return '1996'
    else:
        return 'Both years have the same average unemployment ratio'

# Assuming df_district is the DataFrame with district data
average_year = average_unemployment_ratio(df_district)
print(average_year)
```"
