model,condition,phase,0,1,2,3
llama,adaptive,after,0.0,0.8,15.8,28.6
llama,adaptive,before,0.0,35.9,59.4,72.9
llama,baseline,after,0.0,1.6,14.5,47.1
llama,baseline,before,0.0,31.0,63.0,75.7
llama,uniform,after,0.0,4.1,65.5,90.0
llama,uniform,before,0.0,33.9,93.9,94.3
qwen,adaptive,after,0.0,9.0,38.2,52.9
qwen,adaptive,before,0.0,55.1,67.9,81.4
qwen,baseline,after,0.0,12.7,46.1,74.3
qwen,baseline,before,0.0,53.5,78.2,98.6
qwen,uniform,after,0.0,11.0,93.3,100.0
qwen,uniform,before,0.0,50.2,98.8,100.0
