question_id,repeat_idx,exec_ok,err,value_match
89,0,False,exec_error: TypeError: '>' not supported between instances of 'str' and 'int',
89,1,False,exec_error: KeyError: 'A1',
89,2,False,exec_error: KeyError: 'date_x',
89,3,True,,False
89,4,True,,False
90,0,True,,False
90,1,True,,False
90,2,True,,False
90,3,True,,False
90,4,True,,False
91,0,True,,True
91,1,False,exec_error: KeyError: 'A1',
91,2,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
91,3,True,,False
91,4,False,exec_error: KeyError: 'A1',
92,0,False,exec_error: KeyError: 'Column not found: A1',
92,1,False,exec_error: KeyError: 'Column not found: A1',
92,2,True,,False
92,3,False,exec_error: KeyError: 'Column not found: A1',
92,4,False,exec_error: KeyError: 'Column not found: A1',
93,0,False,exec_error: KeyError: 'A1',
93,1,True,,False
93,2,False,exec_error: KeyError: 'average_salary',
93,3,True,,False
93,4,False,exec_error: KeyError: 'A1',
94,0,True,,False
94,1,False,exec_error: KeyError: 'A1',
94,2,False,exec_error: KeyError: 'Column not found: A1',
94,3,False,exec_error: KeyError: 'A1',
94,4,False,exec_error: KeyError: 'A1',
95,0,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
95,1,False,exec_error: KeyError: 'Column not found: salary',
95,2,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
95,3,False,exec_error: KeyError: 'Column not found: salary',
95,4,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
96,0,True,,False
96,1,True,,False
96,2,True,,False
96,3,True,,False
96,4,True,,False
97,0,True,,False
97,1,True,,False
97,2,True,,False
97,3,True,,False
97,4,True,,False
98,0,False,"exec_error: KeyError: ""['amount_x'] not in index""",
98,1,False,"exec_error: KeyError: ""['date'] not in index""",
98,2,False,"exec_error: KeyError: ""['date'] not in index""",
98,3,False,"exec_error: KeyError: ""['district_id_x', 'frequency_x', 'amount_x'] not in index""",
98,4,False,"exec_error: KeyError: ""['date'] not in index""",
99,0,False,exec_error: KeyError: 'date',
99,1,False,exec_error: KeyError: 'date',
99,2,False,exec_error: KeyError: 'date',
99,3,False,exec_error: KeyError: 'date',
99,4,False,exec_error: KeyError: 'date',
100,0,True,,False
100,1,True,,False
100,2,True,,False
100,3,False,exec_error: ValueError: Can only compare identically-labeled Series objects,
100,4,True,,False
101,0,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
101,1,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
101,2,True,,False
101,3,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
101,4,True,,False
102,0,False,exec_error: KeyError: 'balance_x',
102,1,True,,False
102,2,True,,False
102,3,True,,True
102,4,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
103,0,True,,False
103,1,False,exec_error: KeyError: 'date',
103,2,True,,False
103,3,True,,False
103,4,False,exec_error: KeyError: 'issue_date',
104,0,True,,True
104,1,False,exec_error: KeyError: 'date',
104,2,True,,True
104,3,True,,False
104,4,True,,False
105,0,False,exec_error: IndexError: index 0 is out of bounds for axis 0 with size 0,
105,1,True,,False
105,2,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
105,3,False,exec_error: KeyError: 'date',
105,4,False,exec_error: KeyError: 'district_id_y',
106,0,False,exec_error: AttributeError: Can only use .dt accessor with datetimelike values,
106,1,False,exec_error: AttributeError: Can only use .dt accessor with datetimelike values,
106,2,False,exec_error: KeyError: 'Column not found: amount',
106,3,False,exec_error: KeyError: 'Column not found: amount',
106,4,False,exec_error: AttributeError: Can only use .dt accessor with datetimelike values,
107,0,False,exec_error: KeyError: 'Column not found: A1',
107,1,False,exec_error: KeyError: 'Column not found: A1',
107,2,False,exec_error: KeyError: 'A1',
107,3,False,exec_error: KeyError: 'Column not found: A1',
107,4,False,exec_error: KeyError: 'Column not found: A1',
108,0,False,exec_error: KeyError: 'date',
108,1,False,exec_error: KeyError: 'date',
108,2,True,,False
108,3,True,,False
108,4,False,exec_error: KeyError: 'date',
109,0,True,,False
109,1,True,,False
109,2,False,exec_error: KeyError: 'A1',
109,3,True,,False
109,4,True,,False
110,0,False,exec_error: IndexError: index 0 is out of bounds for axis 0 with size 0,
110,1,False,exec_error: KeyError: 'client_id',
110,2,False,exec_error: KeyError: 'date',
110,3,True,,False
110,4,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
111,0,True,,True
111,1,True,,True
111,2,True,,False
111,3,True,,True
111,4,True,,True
112,0,True,,False
112,1,True,,False
112,2,True,,False
112,3,True,,True
112,4,True,,False
113,0,True,,False
113,1,False,exec_error: KeyError: 'date',
113,2,True,,False
113,3,False,exec_error: KeyError: 'birthday',
113,4,False,exec_error: KeyError: 'date',
114,0,False,exec_error: IndexError: single positional indexer is out-of-bounds,
114,1,False,exec_error: KeyError: 'account',
114,2,False,exec_error: IndexError: single positional indexer is out-of-bounds,
114,3,True,,True
114,4,False,exec_error: KeyError: 'A2',
115,0,True,,False
115,1,True,,False
115,2,True,,False
115,3,False,exec_error: KeyError: 'A1',
115,4,True,,False
116,0,False,exec_error: KeyError: 'amount_start',
116,1,False,exec_error: KeyError: 'date',
116,2,False,exec_error: KeyError: 'balance',
116,3,False,exec_error: KeyError: 'date',
116,4,False,exec_error: IndexError: index 0 is out of bounds for axis 0 with size 0,
117,0,True,,False
117,1,True,,False
117,2,True,,False
117,3,True,,False
117,4,True,,False
118,0,True,,False
118,1,True,,False
118,2,True,,False
118,3,True,,False
118,4,True,,False
119,0,False,exec_error: KeyError: 'A1',
119,1,False,exec_error: TypeError: '<' not supported between instances of 'str' and 'int',
119,2,False,exec_error: TypeError: '<' not supported between instances of 'Timestamp' and 'str',
119,3,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
119,4,False,exec_error: KeyError: 'statement_date',
120,0,True,,False
120,1,True,,False
120,2,True,,False
120,3,True,,False
120,4,True,,False
121,0,True,,False
121,1,True,,True
121,2,True,,True
121,3,True,,True
121,4,True,,False
122,0,True,,False
122,1,True,,False
122,2,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
122,3,True,,False
122,4,False,exec_error: KeyError: 'district_id',
123,0,False,exec_error: KeyError: 'loan_amount',
123,1,False,exec_error: KeyError: 'amount',
123,2,False,exec_error: KeyError: 'loan_amount',
123,3,False,exec_error: KeyError: 'loan_amount',
123,4,False,exec_error: KeyError: 'loan_amount',
124,0,False,exec_error: KeyError: 'duration',
124,1,False,exec_error: KeyError: 'duration',
124,2,False,exec_error: KeyError: 'duration',
124,3,False,exec_error: KeyError: 'duration',
124,4,False,exec_error: KeyError: 'duration',
125,0,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
125,1,False,exec_error: KeyError: 'date',
125,2,False,exec_error: KeyError: 'Column not found: unemployment_rate',
125,3,False,exec_error: KeyError: 'date',
125,4,,,
126,0,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
126,1,True,,False
126,2,True,,True
