question_id,question,hop_diameter,repeat_idx,llama_response,label,error,step1_status,n_merge,step2_status,step2_result,step3_avoidance,step3_overjoin_tag,step4_label,step4_result,step4_gold,gold_has_disp,has_disp,hop_diameter_g,error_type
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,0,"```python
import pandas as pd

def accounts_issuance_after_transaction_in_east_bohemia(df_account, df_card, df_client, df_district, df_loan, df_order, df_trans):
    # Filter accounts who choose issuance after transaction
    issuance_after_transaction = df_trans[df_trans['operation'] == 'ISSUANCE AFTER TRANSACTION']

    # Filter accounts who are staying in East Bohemia region
    east_bohemia_accounts = df_account[df_account['district_id'] == 1]

    # Merge the two dataframes
    accounts_in_east_bohemia = pd.merge(east_bohemia_accounts, issuance_after_transaction, on='account_id', how='inner')

    # Count the number of accounts
    count = accounts_in_east_bohemia.shape[0]

    return count
```

```python
import pandas as pd

def accounts_issuance_after_transaction_in_east_bohemia(df_account, df_card, df_client, df_district, df_loan, df_order, df_trans):
    # Filter accounts who choose issuance after transaction
    issuance_after_transaction = df_trans[df_trans['operation'] == 'ISSUANCE AFTER TRANSACTION']

    # Filter accounts who are staying in East Bohemia region
    east_bohemia_accounts = df_account[df_account['district_id'] == 1]

    # Merge the two dataframes
    accounts_in_east_bohemia = pd.merge(east_bohemia_accounts, issuance_after_transaction, on='account_id', how='inner', suffixes=('_account', '_transaction'))

    # Group by account_id and count the number of accounts
    count = accounts_in_east_bohemia['account_id_account'].nunique()

    return count
```",failed,wrong_value,,1,,0,False,False,semantic,0,[[13]],False,False,1,covert
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,1,"```python
import pandas as pd

def accounts_in_east_bohemia_issued_after_transaction(df_account, df_district, df_card):
    # Filter accounts who choose issuance after transaction
    issued_after_transaction = df_account[df_account['type'] == 'issue'].merge(df_card, on='disp_id')
    
    # Filter accounts staying in East Bohemia region
    east_bohemia = df_district[df_district['A2'] == 1]  # Assuming A2 is the column for East Bohemia region
    accounts_in_east_bohemia = df_account[df_account['district_id'].isin(east_bohemia['district_id'])]
    
    # Compute the feature
    feature = issued_after_transaction.merge(accounts_in_east_bohemia, on='account_id', how='inner', suffixes=('_issued', '_east_bohemia'))
    feature = feature[feature['account_id'] == feature['account_id_issued']]
    
    # Count the number of accounts
    count = feature['account_id'].nunique()
    
    return count
```

```python
# Load DataFrames
account = pd.read_csv('account.csv')
district = pd.read_csv('district.csv')
card = pd.read_csv('card.csv')

# Compute the feature
count = accounts_in_east_bohemia_issued_after_transaction(account, district, card)
print(count)
```",failed,call_error: 'type',,2,call_error: 'type',,,,,,,,False,1,overt
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,2,"```python
import pandas as pd

def count_accounts_staying_in_east_bohemia_after_transaction(df_account, df_district, df_loan, df_trans):
    # Filter accounts staying in East Bohemia region
    east_bohemia_accounts = df_account[df_account['district_id'].isin(df_district[df_district['A2'] == 1]['district_id'])]

    # Filter transactions after issuance
    transactions_after_issuance = df_trans[df_trans['date'] > df_account['date']]

    # Merge accounts and transactions after issuance
    merged_data = pd.merge(east_bohemia_accounts, transactions_after_issuance, on='account_id', how='inner')

    # Count accounts who choose issuance after transaction
    count = merged_data['account_id'].nunique()

    return count
```",failed,call_error: Can only compare identically-labeled Series objects,,1,call_error: Can only compare identically-labeled Series objects,,,,,,,,False,1,overt
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,3,"```python
import pandas as pd

def accounts_in_east_bohemia_after_issuance(df_account, df_card, df_loan, df_district):
    # Filter accounts with issuance after transaction
    accounts_issuance_after_transaction = df_account[df_account['frequency'] == 'issuance'].merge(df_card, on='account_id')
    
    # Filter accounts in East Bohemia region
    east_bohemia_district_id = df_district[df_district['A2'] == 'East Bohemia']['district_id'].unique()[0]
    accounts_in_east_bohemia = df_account[df_account['district_id'] == east_bohemia_district_id]
    
    # Merge accounts with issuance after transaction and accounts in East Bohemia
    accounts_in_east_bohemia_after_issuance = accounts_issuance_after_transaction.merge(accounts_in_east_bohemia, on='account_id')
    
    # Count the number of accounts
    count = len(accounts_in_east_bohemia_after_issuance)
    
    return count
```

```python
# Apply the function to the DataFrames
count = accounts_in_east_bohemia_after_issuance(df_account, df_card, df_loan, df_district)
print(count)
```",failed,call_error: 'account_id',,2,call_error: 'account_id',,,,,,,,False,1,overt
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,4,"```python
import pandas as pd

def accounts_in_east_bohemia_issuance_after_transaction(df_account, df_card, df_client, df_district, df_loan, df_order, df_trans):
    # Filter accounts who have issued a card
    issued_accounts = df_card[df_card['type'] == 'ISSUE'].groupby('account_id')['type'].count().reset_index()
    issued_accounts = issued_accounts[issued_accounts['type'] == 1]['account_id'].unique()

    # Filter accounts who have a transaction after issuance
    transactions_after_issuance = df_trans[df_trans['date'] > df_trans[df_trans['account_id'].isin(issued_accounts)]['date'].min()]
    transactions_after_issuance = transactions_after_issuance[transactions_after_issuance['type'] == 'ISSUE'].groupby('account_id')['type'].count().reset_index()
    transactions_after_issuance = transactions_after_issuance[transactions_after_issuance['type'] == 1]['account_id'].unique()

    # Filter accounts who stay in East Bohemia region
    east_bohemia_districts = df_district[df_district['A2'] == 'East Bohemia'].groupby('district_id')['A2'].count().reset_index()
    east_bohemia_districts = east_bohemia_districts[east_bohemia_districts['A2'] == 1]['district_id'].unique()

    # Filter accounts who stay in East Bohemia region and have issued a card and transaction after issuance
    accounts_in_east_bohemia_issuance_after_transaction = df_account[df_account['district_id'].isin(east_bohemia_districts) & df_account['account_id'].isin(transactions_after_issuance) & df_account['account_id'].isin(issued_accounts)]

    return accounts_in_east_bohemia_issuance_after_transaction.shape[0]
```

This function filters the accounts who have issued a card, have a transaction after issuance, and stay in East Bohemia region. It returns the number of such accounts.",failed,call_error: 'account_id',,0,call_error: 'account_id',,,,,,,,False,1,overt
90,How many accounts who have region in Prague are eligible for loans?,2,1,"```python
import pandas as pd

def count_eligible_accounts(df_account, df_district, df_loan):
    # Merge account and district DataFrames
    df_account_district = pd.merge(df_account, df_district, left_on='district_id', right_on='district_id')
    
    # Filter accounts from Prague
    df_prague_accounts = df_account_district[df_account_district['A2'] == 'Praha']
    
    # Merge accounts with loan DataFrame
    df_eligible_accounts = pd.merge(df_prague_accounts, df_loan, left_on='account_id', right_on='account_id', how='inner')
    
    # Count eligible accounts
    eligible_accounts_count = df_eligible_accounts['account_id'].nunique()
    
    return eligible_accounts_count
```

```python
# Example usage
eligible_accounts_count = count_eligible_accounts(df_account, df_district, df_loan)
print(eligible_accounts_count)
```

Note: The function assumes that the `A2` column in the `district` DataFrame contains the region names and 'Praha' is the name of the region that represents Prague. If the region name is different, replace `'Praha'` with the actual region name.",failed,wrong_value,,2,,0,False,False,semantic,0,[[84]],False,False,2,covert
90,How many accounts who have region in Prague are eligible for loans?,2,2,"```python
import pandas as pd

def eligible_accounts_for_loans(df_account, df_district):
    # Merge account and district DataFrames on district_id
    df_account_district = pd.merge(df_account, df_district, on='district_id')
    
    # Extract region from district DataFrame
    df_account_district['region'] = df_account_district['A1']
    
    # Replace '1' with 'Prague' and '2' with 'Prague' in region column
    df_account_district['region'] = df_account_district['region'].replace({1: 'Prague', 2: 'Prague'})
    
    # Create a new column 'eligible_for_loan' which is True if account_id exists in loan DataFrame
    df_account_district['eligible_for_loan'] = df_account_district['account_id'].isin(df_loan['account_id'])
    
    # Group by 'region' and count the number of 'account_id's that are eligible for loans
    eligible_accounts = df_account_district.groupby('region')['eligible_for_loan'].sum().reset_index()
    
    return eligible_accounts
```

```python
import pandas as pd

def eligible_accounts_for_loans(df_account, df_district, df_loan):
    # Merge account and district DataFrames on district_id
    df_account_district = pd.merge(df_account, df_district, on='district_id')
    
    # Extract region from district DataFrame
    df_account_district['region'] = df_account_district['A1']
    
    # Replace '1' with 'Prague' and '2' with 'Prague' in region column
    df_account_district['region'] = df_account_district['region'].replace({1: 'Prague', 2: 'Prague'})
    
    # Create a new column 'eligible_for_loan' which is True if account_id exists in loan DataFrame
    df_account_district['eligible_for_loan'] = df_account_district['account_id'].isin(df_loan['account_id'])
    
    # Count the number of accounts in each region that are eligible for loans
    eligible_accounts = df_account_district.groupby('region')['eligible_for_loan'].sum().reset_index()
    
    return eligible_accounts

# Assuming all DataFrames are loaded
df_account = pd.DataFrame(account)
df_district = pd.DataFrame(district)
df_loan = pd.DataFrame(loan)

eligible_accounts = eligible_accounts_for_loans(df_account, df_district, df_loan)
print(eligible_accounts)
```

```python
import pandas as pd

def eligible_accounts_for_loans(df_account, df_district, df_loan):
    # Merge account and district DataFrames on district_id
    df_account_district = pd.merge(df_account, df_district, on='district_id')
    
    # Extract region from district DataFrame
    df_account_district['region'] = df_account_district['A1']
    
    # Replace '1' with 'Prague' and '2' with 'Prague' in region column
    df_account_district['region'] = df_account_district['region'].replace({1: 'Prague', 2: 'Prague'})
    
    # Count the number of accounts in each region that are eligible for loans
    eligible_accounts = df_account_district.groupby('region').size().reset_index(name='eligible_accounts')
    
    return eligible_accounts

# Assuming all DataFrames are loaded
df_account = pd.DataFrame(account)
df_district = pd.DataFrame(district)
df_loan = pd.DataFrame(loan)

eligible_accounts = eligible_accounts_for_loans(df_account, df_district, df_loan)
print(eligible_accounts)
```",failed,call_error: 'A1',,1,call_error: 'A1',,,,,,,,False,2,overt
90,How many accounts who have region in Prague are eligible for loans?,2,3,"```python
import pandas as pd

def count_eligible_accounts(df_account, df_district, df_loan):
    # Merge account and district DataFrames
    merged_account_district = pd.merge(df_account, df_district, left_on='district_id', right_on='district_id', how='left')
    
    # Filter accounts in Prague
    prague_accounts = merged_account_district[merged_account_district['A2'] == 'Praha']
    
    # Merge accounts with loans
    merged_accounts_loans = pd.merge(prague_accounts, df_loan, left_on='account_id', right_on='account_id', how='left')
    
    # Count eligible accounts
    eligible_accounts = merged_accounts_loans[merged_accounts_loans['status'].notna()]
    count = len(eligible_accounts)
    
    return count
```

```python
# Usage
count = count_eligible_accounts(df_account, df_district, df_loan)
print(count)
```",failed,wrong_value,,2,,0,False,False,semantic,0,[[84]],False,False,2,covert
90,How many accounts who have region in Prague are eligible for loans?,2,4,"```python
import pandas as pd

def count_eligible_accounts(df_account, df_district, df_loan):
    # Filter accounts with region in Prague
    prague_accounts = df_account[df_account['district_id'].isin(df_district[df_district['A2'] == 'Praha']['district_id'])]
    
    # Filter loans
    eligible_loans = df_loan[df_loan['status'] == 'approved']
    
    # Count eligible accounts
    eligible_accounts_count = prague_accounts[prague_accounts['account_id'].isin(eligible_loans['account_id'])].shape[0]
    
    return eligible_accounts_count
```

You can use this function with your DataFrames like this:

```python
eligible_accounts_count = count_eligible_accounts(df_account, df_district, df_loan)
print(eligible_accounts_count)
```",failed,wrong_value,,0,,0,True,False,,,,,False,2,covert
92,List out the no. of districts that have female average salary is more than 6000 but less than 10000?,1,0,"```python
import pandas as pd

def count_districts():
    # Calculate average salary for each district
    district_avg_salary = (
        pd.merge(district, client, on='district_id')
        .merge(card, on='disp_id')
        .merge(account, on='account_id')
        .merge(loan, on='account_id')
        .groupby('district_id')[['A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16']]
        .mean()
    )

    # Merge average salary with district information
    district_info = district.set_index('district_id')

    # Calculate total income for each district
    district_info['total_income'] = district_info[['A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16']].sum(axis=1)

    # Filter for female clients
    female_districts = (
        pd.merge(district_info, client, on='district_id')
        .query('gender == ""Female""')
    )

    # Filter for districts with average salary between 6000 and 10000
    districts = female_districts[
        (female_districts['total_income'] / female_districts['total_population']) > 6000
        & (female_districts['total_income'] / female_districts['total_population']) < 10000
    ]

    # Return the count of districts
    return len(districts)

# Assume the tables are already loaded as pandas DataFrames with the same names as above
# You can call the function like this:
print(count_districts())
```",failed,exec_error: 'disp_id',,5,call_error: 'disp_id',,,,,,,,False,1,overt
