question_id,question,difficulty,gold_sql,hop_naive,hop_breadth,hop_diameter,has_subquery,subquery_types,nesting_depth,needs_manual_review,review_reason,parse_error
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,moderate,SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = 'east Bohemia' AND T2.frequency = 'POPLATEK PO OBRATU',1,1,1,False,none,0,False,,
90,How many accounts who have region in Prague are eligible for loans?,simple,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = 'Prague',2,2,2,False,none,0,False,,
91,"The average unemployment ratio of 1995 and 1996, which one has higher percentage?",simple,"SELECT DISTINCT IIF(AVG(A13) > AVG(A12), '1996', '1995') FROM district",0,0,0,False,none,0,False,,
92,List out the no. of districts that have female average salary is more than 6000 but less than 10000?,simple,SELECT COUNT(DISTINCT T2.district_id)  FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' AND T2.A11 BETWEEN 6000 AND 10000,1,1,1,False,none,0,False,,
93,How many male customers who are living in North Bohemia have average salary greater than 8000?,moderate,SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'M' AND T2.A3 = 'north Bohemia' AND T2.A11 > 8000,1,1,1,False,none,0,False,,
94,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary?",challenging,"SELECT T1.account_id , ( SELECT MAX(A11) - MIN(A11) FROM district ) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T1.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T2.district_id = ( SELECT district_id FROM client WHERE gender = 'F' ORDER BY birth_date ASC LIMIT 1 ) ORDER BY T2.A11 DESC LIMIT 1",3,3,3,True,scalar,1,False,,
95,List out the account numbers of clients who are youngest and have highest average salary?,moderate,"SELECT T1.account_id  FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id INNER JOIN client AS T3 ON T2.client_id = T3.client_id INNER JOIN district AS T4 on T4.district_id = T1.district_id WHERE T2.client_id = ( SELECT client_id FROM client ORDER BY birth_date DESC LIMIT 1) GROUP BY T4.A11, T1.account_id",3,3,3,True,scalar,1,False,,
96,How many customers who choose statement of weekly issuance are Owner?,simple,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id WHERE T2.type = 'OWNER' AND T1.frequency = 'POPLATEK TYDNE',1,1,1,False,none,0,False,,
97,List out the id number of client who choose statement of issuance after transaction are Disponent?,simple,SELECT T2.client_id FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id WHERE T1.frequency = 'POPLATEK PO OBRATU' AND T2.type = 'DISPONENT',1,1,1,False,none,0,False,,
98,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement.",moderate,"SELECT T2.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T1.date) = '1997' AND T2.frequency = 'POPLATEK TYDNE' ORDER BY T1.amount LIMIT 1",1,1,1,False,none,0,False,,
99,"Among the accounts who have loan validity more than 12 months, list out the accounts that have the highest approved amount and have account opening date in 1993.",moderate,"SELECT T1.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T2.date) = '1993' AND T1.duration > 12 ORDER BY T1.amount DESC LIMIT 1",1,1,1,False,none,0,False,,
100,"Among the account opened, how many female customers who were born before 1950 and stayed in Sokolov?",moderate,"SELECT COUNT(T2.client_id) FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T2.gender = 'F' AND STRFTIME('%Y', T2.birth_date) < '1950' AND T1.A2 = 'Sokolov'",1,1,1,False,none,0,False,,
101,List out the accounts who have the earliest trading date in 1995 ?,simple,"SELECT account_id FROM trans WHERE STRFTIME('%Y', date) = '1995' ORDER BY date ASC LIMIT 1",0,0,0,False,none,0,False,,
102,State different accounts who have account opening date before 1997 and own an amount of money greater than 3000USD,simple,"SELECT DISTINCT T2.account_id FROM trans AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T2.date) < '1997' AND T1.amount > 3000",1,1,1,False,none,0,False,,
103,"Which client issued his/her card in 1994/3/3, give his/her client id.",simple,SELECT T2.client_id FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN card AS T3 ON T2.disp_id = T3.disp_id WHERE T3.issued = '1994-03-03',2,2,2,False,none,0,False,,
104,"The transaction of 840 USD happened in 1998/10/14, when was this account opened?",simple,SELECT T1.date FROM account AS T1 INNER JOIN trans AS T2 ON T1.account_id = T2.account_id WHERE T2.amount = 840 AND T2.date = '1998-10-14',1,1,1,False,none,0,False,,
105,"There was a loan approved in 1994/8/25, where was that account opened, give the district Id of the branch.",simple,SELECT T1.district_id FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id WHERE T2.date = '1994-08-25',1,1,1,False,none,0,False,,
106,What is the biggest amount of transaction that the client whose card was opened in 1996/10/21 made?,simple,SELECT T4.amount FROM card AS T1 JOIN disp AS T2 ON T1.disp_id = T2.disp_id JOIN account AS T3 on T2.account_id = T3.account_id JOIN trans AS T4 on T3.account_id = T4.account_id WHERE T1.issued = '1996-10-21' ORDER BY T4.amount DESC LIMIT 1,3,3,3,False,none,0,False,,
107,What is the gender of the oldest client who opened his/her account in the highest average salary branch?,simple,"SELECT T2.gender FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id ORDER BY T1.A11 DESC, T2.birth_date ASC LIMIT 1",1,1,1,False,none,0,False,,
108,"For the client who applied the biggest loan, what was his/her first amount of transaction after opened the account?",simple,"SELECT T3.amount FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id ORDER BY T1.amount DESC, T3.date ASC LIMIT 1",2,2,2,False,none,0,False,,
109,How many clients opened their accounts in Jesenik branch were women?,simple,SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' AND T2.A2 = 'Jesenik',1,1,1,False,none,0,False,,
110,What is the disposition id of the client who made 5100 USD transaction in 1998/9/2?,simple,SELECT T1.disp_id FROM disp AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T3.date='1997-08-20' AND T3.amount = 5100,2,2,2,False,none,0,False,,
111,How many accounts were opened in Litomerice in 1996?,simple,"SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T2.date) = '1996' AND T1.A2 = 'Litomerice'",1,1,1,False,none,0,False,,
112,"For the female client who was born in 1976/1/29, which district did she opened her account?",simple,SELECT T1.A2 FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T2.birth_date = '1976-01-29' AND T2.gender = 'F',1,1,1,False,none,0,False,,
