question_id,question,hop_diameter,repeat_idx,condition,qwen_response
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,0,adaptive,"```python
import pandas as pd

def feature_engineering(account):
    # Merge with district table to get region information
    merged_df = pd.merge(account, district, on='district_id', how='left')
    
    # Filter rows where 'A1' is 'East Bohemia'
    filtered_df = merged_df[merged_df['A1'] == 'East Bohemia']
    
    # Count the number of accounts
    count = len(filtered_df)
    
    return count
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,1,adaptive,"```python
import pandas as pd

def compute_feature(district, account):
    # Filter accounts where the district is 'East Bohemia'
    east_bohemia_accounts = account.merge(district, how='left', on='district_id')
    east_bohemia_accounts = east_bohemia_accounts[east_bohemia_accounts['A1'] == 'East Bohemia']

    # Filter accounts where the transaction date is before the issuance date
    east_bohemia_accounts = east_bohemia_accounts.sort_values(by=['date'])
    east_bohemia_accounts['is_issuance_after_transaction'] = east_bohemia_accounts.groupby('account_id')['date'].diff() > 0

    # Count the number of accounts meeting the criteria
    result = east_bohemia_accounts['is_issuance_after_transaction'].sum()

    return result
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,2,adaptive,"```python
import pandas as pd

def feature_engineering(district, account):
    # Merge the two tables based on district_id
    merged_df = pd.merge(account, district, how='left', on='district_id')
    
    # Filter rows where date is greater than 2000 and region is 'East Bohemia'
    filtered_df = merged_df[(merged_df['date'] > 2000) & (merged_df['A1'] == 'East Bohemia')]
    
    # Count distinct accounts
    result = len(filtered_df['account_id'].unique())
    
    return result
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,3,adaptive,"```python
import pandas as pd

def compute_feature(district, account):
    # Filter accounts where frequency is 2 (issuance) and date is not null
    issuance_accounts = account[(account['frequency'] == 2) & ~account['date'].isnull()]
    
    # Merge with district table to get region information
    merged_df = pd.merge(issuance_accounts, district, on='district_id', how='left')
    
    # Count accounts staying in East Bohemia region
    east_bohemia_count = merged_df[merged_df['A2'] == 'East Bohemia']['account_id'].nunique()
    
    return east_bohemia_count
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,4,adaptive,"```python
import pandas as pd

def compute_feature(district, account):
    # Filter accounts issued after transaction in East Bohemia region
    east_bohemian_accounts = account[(account['date'] > '2022-01-01') & (district['A1'] == 'East Bohemia')]
    
    # Count unique accounts
    result = len(east_bohemian_accounts['account_id'].unique())
    
    return result
```"
90,How many accounts who have region in Prague are eligible for loans?,2,0,adaptive,"```python
import pandas as pd

def compute_feature(account, loan, district, client):
    # Merge district and account on district_id to get region information
    merged = pd.merge(account, district, how='left', on='district_id')
    
    # Filter for accounts in the 'Prague' region
    prague_accounts = merged[merged['A1'] == 'Prague']
    
    # Merge prague_accounts with loan data
    prague_loan = pd.merge(prague_accounts, loan, how='inner', on='account_id')
    
    # Compute the number of unique accounts
    result = len(prague_loan['account_id'].unique())
    
    return result
```"
90,How many accounts who have region in Prague are eligible for loans?,2,1,adaptive,"```python
import pandas as pd

def count_eligible_accounts(account, loan, district):
    # Merge account and district to get district information for each account
    merged = pd.merge(account, district, how='left', left_on='district_id', right_index=True)
    
    # Filter for accounts in the 'Prague' region
    prague_accounts = merged[merged['A1'] == 'Prague']
    
    # Merge filtered accounts with loan data to check loan eligibility
    eligible_accounts = pd.merge(prague_accounts, loan, how='inner', left_on='account_id', right_on='account_id')
    
    # Count the number of unique accounts that are eligible for loans
    result = len(eligible_accounts['account_id'].unique())
    
    return result
```"
90,How many accounts who have region in Prague are eligible for loans?,2,2,adaptive,"```python
import pandas as pd

def compute_feature(account, loan, district, client):
    # Merge account and district tables to get region information for each account
    merged = pd.merge(account, district, on='district_id')
    
    # Filter accounts in Prague
    prague_accounts = merged[merged['A2'] == 'Prague']
    
    # Merge filtered accounts with loan table to get loan eligibility information
    merged = pd.merge(prague_accounts, loan, on='account_id')
    
    # Count unique account IDs from the resulting DataFrame
    num_eligible_accounts = len(merged['account_id'].unique())
    
    return num_eligible_accounts
```"
90,How many accounts who have region in Prague are eligible for loans?,2,3,adaptive,"```python
import pandas as pd

def compute_feature(account, loan, district, client):
    # Merge account and loan tables on account_id
    merged_account_loan = pd.merge(account, loan, how='inner', left_on='account_id', right_on='account_id')
    
    # Merge merged result with district table on district_id
    merged_all = pd.merge(merged_account_loan, district, how='inner', left_on='district_id', right_on='district_id')
    
    # Filter rows where A1 equals 'Prague'
    prague_accounts = merged_all[merged_all['A1'] == 'Prague']
    
    # Count distinct account_ids from the filtered dataframe
    num_prague_eligible_accounts = len(prague_accounts['account_id'].unique())
    
    return num_prague_eligible_accounts
```"
90,How many accounts who have region in Prague are eligible for loans?,2,4,adaptive,"```python
import pandas as pd

def compute_feature(account, loan, district, client):
    # Merge tables to get the required information
    merged = account.merge(loan, on='account_id')
    merged = merged.merge(district, on='district_id')
    
    # Filter rows where region is Prague
    prague_accounts = merged[merged['A1'] == 'Prague']
    
    # Count distinct account IDs
    result = len(prague_accounts['account_id'].unique())
    
    return result
```"
91,"The average unemployment ratio of 1995 and 1996, which one has higher percentage?",0,0,adaptive,"```python
import pandas as pd

def compute_unemployment_ratio_difference(df):
    # Calculate the average unemployment ratio for each year
    avg_unemp_1995 = df.loc[df['year'] == 1995, 'unemployment_rate'].mean()
    avg_unemp_1996 = df.loc[df['year'] == 1996, 'unemployment_rate'].mean()

    # Compute the difference
    difference = avg_unemp_1996 - avg_unemp_1995

    return difference
```"
91,"The average unemployment ratio of 1995 and 1996, which one has higher percentage?",0,1,adaptive,"```python
def compute_unemployment_ratio(district):
    avg_1995 = district.loc[district['A2'] == '1995', 'A16'].mean()
    avg_1996 = district.loc[district['A2'] == '1996', 'A16'].mean()
    return avg_1996 > avg_1995
```"
91,"The average unemployment ratio of 1995 and 1996, which one has higher percentage?",0,2,adaptive,"```python
import pandas as pd

def calculate_higher_unemployment_ratio(df):
    avg_1995 = df.loc[df['year'] == 1995, 'unemployment_rate'].mean()
    avg_1996 = df.loc[df['year'] == 1996, 'unemployment_rate'].mean()
    
    if avg_1995 > avg_1996:
        return ""1995""
    else:
        return ""1996""

# Assuming the DataFrame is named `loan_data`
result = calculate_higher_unemployment_ratio(loan_data)
print(result)
```"
91,"The average unemployment ratio of 1995 and 1996, which one has higher percentage?",0,3,adaptive,"```python
def compute_feature(district):
    # Calculate the mean unemployment rate for 1995 and 1996
    avg_unemp_1995 = district.loc[district['A1'] == '1995', 'A8'].mean()
    avg_unemp_1996 = district.loc[district['A1'] == '1996', 'A8'].mean()
    
    # Compare the two averages
    if avg_unemp_1995 > avg_unemp_1996:
        return '1995'
    else:
        return '1996'
```"
91,"The average unemployment ratio of 1995 and 1996, which one has higher percentage?",0,4,adaptive,"```python
import pandas as pd

def avg_unemployment_ratio(df):
    # Calculate average unemployment ratios for 1995 and 1996
    avg_1995 = df['A1'].mean()
    avg_1996 = df['A2'].mean()
    
    # Compare the averages and return the result
    if avg_1995 > avg_1996:
        return '1995'
    else:
        return '1996'
```"
92,List out the no. of districts that have female average salary is more than 6000 but less than 10000?,1,0,adaptive,"```python
import pandas as pd

def compute_feature(client, district):
    # Calculate average salary per district
    avg_salary = pd.merge(client, district, on='district_id', how='left')
    avg_salary['avg_salary'] = (avg_salary[['A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16']].sum(axis=1)) / 15
    
    # Filter districts based on average salary condition
    filtered_districts = avg_salary[(avg_salary['avg_salary'] > 6000) & (avg_salary['avg_salary'] < 10000)]
    
    # Count the number of districts that meet the condition
    result = len(filtered_districts)
    
    return result
```"
