question_id,repeat_idx,exec_ok,err,value_match
89,0,False,exec_error: KeyError: 'client_id',
89,1,,,
89,2,False,exec_error: KeyError: 'account_id',
89,3,False,exec_error: KeyError: 'card_id',
89,4,False,exec_error: KeyError: 'disp_id',
90,0,True,,False
90,1,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
90,2,False,exec_error: KeyError: 'status',
90,3,True,,False
90,4,False,exec_error: UnboundLocalError: cannot access local variable 'client' where it is not associated with a value,
91,0,False,exec_error: KeyError: 'district_id',
91,1,False,"exec_error: ValueError: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().",
91,2,,,
91,3,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
91,4,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
92,0,False,exec_error: KeyError: 'account_id',
92,1,False,exec_error: KeyError: 'district_id',
92,2,False,exec_error: KeyError: 'account_id',
92,3,False,exec_error: KeyError: 'account_id',
92,4,False,exec_error: KeyError: 'district_id',
93,0,False,exec_error: KeyError: 'account_id',
93,1,False,exec_error: KeyError: 'account_id',
93,2,False,exec_error: KeyError: 'account_id',
93,3,False,exec_error: KeyError: 'account_id',
93,4,False,exec_error: KeyError: 'account_id',
94,0,False,exec_error: TypeError: unsupported operand type(s) for /: 'str' and 'int',
94,1,False,exec_error: KeyError: 'district_id',
94,2,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
94,3,False,exec_error: KeyError: 'client_id',
94,4,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
95,0,False,"exec_error: TypeError: int() argument must be a string, a bytes-like object or a real number, not 'Timestamp'",
95,1,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
95,2,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
95,3,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
95,4,False,exec_error: KeyError: 'account_id',
96,0,False,exec_error: KeyError: 'client_id',
96,1,True,,False
96,2,True,,False
96,3,False,exec_error: KeyError: 'client_id',
96,4,False,exec_error: UnboundLocalError: cannot access local variable 'card' where it is not associated with a value,
97,0,,,
97,1,False,exec_error: KeyError: 'client_id',
97,2,False,"exec_error: KeyError: ""['trans_id'] not in index""",
97,3,False,exec_error: KeyError: 'client_id',
97,4,False,exec_error: KeyError: 'client_id',
98,0,False,exec_error: KeyError: 'disp_id',
98,1,False,exec_error: KeyError: 'disp_id',
98,2,False,exec_error: KeyError: 'date',
98,3,False,exec_error: KeyError: 'client_id',
98,4,False,exec_error: KeyError: 'date',
99,0,False,exec_error: KeyError: 'client_id',
99,1,False,exec_error: KeyError: 'disp_id',
99,2,False,exec_error: KeyError: 'status',
99,3,False,exec_error: TypeError: unsupported operand type(s) for /: 'numpy.ndarray' and 'DateOffset',
99,4,False,exec_error: TypeError: unsupported operand type(s) for +: 'Timestamp' and 'str',
100,0,False,exec_error: UnboundLocalError: cannot access local variable 'client' where it is not associated with a value,
100,1,False,exec_error: KeyError: 'client_id',
100,2,True,,False
100,3,False,exec_error: KeyError: 'status',
100,4,False,exec_error: KeyError: '_account',
101,0,False,exec_error: KeyError: 'date',
101,1,False,exec_error: KeyError: 'date',
101,2,False,exec_error: AttributeError: 'numpy.int64' object has no attribute 'unique',
101,3,False,exec_error: KeyError: 'district_id',
101,4,True,,False
102,0,True,,False
102,1,False,exec_error: KeyError: 'date',
102,2,True,,False
102,3,False,exec_error: KeyError: 'district_id',
102,4,False,exec_error: KeyError: 'amount',
103,0,False,exec_error: KeyError: 'date',
103,1,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
103,2,False,exec_error: KeyError: 'client_id',
103,3,False,exec_error: KeyError: 'client_id',
103,4,False,exec_error: KeyError: 'client_id',
104,0,False,"exec_error: KeyError: ""['date'] not in index""",
104,1,False,"exec_error: KeyError: ""['date_x'] not in index""",
104,2,False,exec_error: KeyError: 'date_x',
104,3,True,,False
104,4,True,,False
105,0,False,exec_error: KeyError: 'disp_id',
105,1,False,exec_error: KeyError: 'disp_id',
105,2,False,exec_error: KeyError: 'disp_id',
105,3,False,exec_error: KeyError: 'disp_id',
105,4,False,exec_error: KeyError: 'disp_id',
106,0,False,exec_error: KeyError: 'client_id',
106,1,False,exec_error: KeyError: 'client_id',
106,2,False,exec_error: KeyError: 'card_id',
106,3,False,exec_error: KeyError: 'client_id',
106,4,False,exec_error: KeyError: 'client_id',
107,0,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
107,1,False,exec_error: KeyError: 'district_id',
107,2,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
107,3,False,exec_error: KeyError: 'A2',
107,4,False,exec_error: KeyError: 'disp_id',
108,0,False,exec_error: KeyError: 'account_id',
108,1,False,exec_error: KeyError: 'client_id',
108,2,False,exec_error: KeyError: 'amount',
108,3,False,exec_error: KeyError: 'client_id',
108,4,False,exec_error: KeyError: 'date_x',
109,0,False,exec_error: KeyError: 'client_id',
109,1,False,exec_error: KeyError: 'client_id',
109,2,False,exec_error: KeyError: 'client_id',
109,3,False,exec_error: UnboundLocalError: cannot access local variable 'account' where it is not associated with a value,
109,4,False,exec_error: KeyError: 'district_id',
110,0,False,exec_error: KeyError: 'disp_id',
110,1,False,exec_error: ValueError: You are trying to merge on datetime64[us] and str columns for key 'date'. If you wish to proceed you should use pd.concat,
110,2,False,exec_error: UnboundLocalError: cannot access local variable 'client' where it is not associated with a value,
110,3,False,exec_error: KeyError: 'account_id',
