question_id,repeat_idx,exec_ok,err,value_match
89,0,False,exec_error: KeyError: 'district_id',
89,1,False,"exec_error: KeyError: ""['A1'] not in index""",
89,2,False,exec_error: KeyError: 'district_id',
89,3,False,exec_error: NameError: name 'acc' is not defined,
89,4,False,exec_error: KeyError: 'district_id',
90,0,False,exec_error: KeyError: 'A1',
90,1,False,exec_error: KeyError: 'client_id',
90,2,False,exec_error: KeyError: 'client_id',
90,3,True,,False
90,4,False,exec_error: KeyError: 'client_id',
91,0,False,"exec_error: AttributeError: Can only use .str accessor with string values, not floating",
91,1,False,exec_error: KeyError: 'district_id',
91,2,False,exec_error: FileNotFoundError: [Errno 2] No such file or directory: 'district.csv',
91,3,True,,False
91,4,False,exec_error: KeyError: 'A1',
92,0,False,exec_error: KeyError: 'client_id',
92,1,True,,False
92,2,False,exec_error: KeyError: 'district_id',
92,3,False,exec_error: KeyError: 'Column not found: amount',
92,4,False,exec_error: KeyError: 'Column not found: amount',
93,0,False,exec_error: KeyError: 'Column not found: amount',
93,1,False,exec_error: KeyError: 'A1',
93,2,False,exec_error: KeyError: 'balance',
93,3,False,exec_error: KeyError: 'A1',
93,4,False,exec_error: KeyError: 'balance',
94,0,False,exec_error: KeyError: 'Column not found: amount',
94,1,False,exec_error: KeyError: 'account_id',
94,2,False,exec_error: KeyError: 'Column not found: amount',
94,3,False,"exec_error: KeyError: ""Label(s) ['amount'] do not exist""",
94,4,False,exec_error: KeyError: 'gender',
95,0,False,exec_error: KeyError: 'client_id',
95,1,False,exec_error: KeyError: 'client_id',
95,2,False,exec_error: KeyError: 'Column not found: A1',
95,3,False,"exec_error: ValueError: Cannot convert from timedelta64[us] to timedelta64[Y]. Supported resolutions are 's', 'ms', 'us', 'ns'",
95,4,False,exec_error: KeyError: 'client_id',
96,0,False,exec_error: KeyError: 'type',
96,1,True,,False
96,2,True,,False
96,3,False,exec_error: KeyError: 'client_id',
96,4,False,exec_error: KeyError: 'type',
97,0,False,"exec_error: KeyError: ""None of [Index(['client_id'], dtype='str')] are in the [columns]""",
97,1,True,,False
97,2,False,exec_error: KeyError: 'disp_id',
97,3,False,exec_error: KeyError: 'type',
97,4,False,exec_error: KeyError: 'client_id',
98,0,False,exec_error: KeyError: 'date',
98,1,False,exec_error: KeyError: 'client_id',
98,2,False,exec_error: KeyError: 'date',
98,3,False,exec_error: KeyError: 'date',
98,4,True,,False
99,0,False,exec_error: KeyError: 'date',
99,1,False,exec_error: KeyError: 'date',
99,2,False,exec_error: KeyError: 'client_id',
99,3,False,exec_error: KeyError: 'client_id',
99,4,False,exec_error: KeyError: 'date',
100,0,False,exec_error: KeyError: 'client_id',
100,1,False,exec_error: KeyError: 'client_id',
100,2,True,,False
100,3,False,exec_error: KeyError: 'client_id',
100,4,False,exec_error: KeyError: 'client_id',
101,0,False,exec_error: KeyError: 'date',
101,1,False,exec_error: KeyError: 'date',
101,2,False,exec_error: KeyError: 'Column not found: date',
101,3,False,"exec_error: KeyError: ""['date'] not in index""",
101,4,False,exec_error: KeyError: 'Column not found: date',
102,0,True,,False
102,1,False,exec_error: KeyError: 'amount',
102,2,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
102,3,False,exec_error: KeyError: 'Column not found: amount_x',
102,4,False,exec_error: KeyError: 'Column not found: amount_x',
103,0,False,exec_error: KeyError: 'client_id',
103,1,False,"exec_error: KeyError: ""None of [Index(['client_id'], dtype='str')] are in the [columns]""",
103,2,False,exec_error: KeyError: 'account_id',
103,3,False,exec_error: KeyError: 'account_id',
103,4,False,exec_error: KeyError: 'client_id',
104,0,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
104,1,True,,False
104,2,True,,False
104,3,False,exec_error: NameError: name 'transaction' is not defined,
104,4,True,,False
105,0,False,exec_error: KeyError: 'date',
105,1,True,,True
105,2,False,exec_error: KeyError: 'date',
105,3,True,,True
105,4,False,exec_error: KeyError: 'date',
106,0,False,exec_error: KeyError: 'client_id',
106,1,False,exec_error: KeyError: 'issued',
106,2,False,exec_error: KeyError: 'district_id',
106,3,False,exec_error: KeyError: 'account_id',
106,4,False,exec_error: KeyError: 'client_id',
107,0,False,exec_error: KeyError: 'district_id',
107,1,False,exec_error: KeyError: 'district_id',
107,2,False,exec_error: KeyError: 'district_id',
107,3,False,exec_error: KeyError: 'account_id',
107,4,False,exec_error: KeyError: 'district_id',
108,0,False,exec_error: KeyError: 'client_id',
108,1,False,exec_error: KeyError: 'client_id',
108,2,False,exec_error: KeyError: 'date',
108,3,False,exec_error: KeyError: 'date',
108,4,False,exec_error: KeyError: 'client_id',
109,0,False,exec_error: KeyError: 'client_id',
109,1,False,exec_error: KeyError: 'A1',
109,2,False,exec_error: KeyError: 'A1',
109,3,False,exec_error: KeyError: 'A1',
109,4,False,exec_error: KeyError: 'client_id',
110,0,False,"exec_error: KeyError: ""['disp_id'] not in index""",
110,1,False,exec_error: KeyError: 'client_id',
110,2,False,exec_error: KeyError: 'amount',
110,3,False,exec_error: KeyError: 'disp_id',
110,4,False,exec_error: KeyError: 'account_id',
111,0,True,,False
111,1,False,exec_error: KeyError: 'A1',
111,2,True,,False
111,3,False,exec_error: KeyError: 'type',
111,4,False,exec_error: KeyError: 'A1',
112,0,True,,False
112,1,False,exec_error: KeyError: 'client_id',
112,2,False,exec_error: KeyError: 'client_id',
112,3,False,exec_error: KeyError: 'account_id',
