question_id,repeat_idx,exec_ok,err,value_match
89,0,False,exec_error: KeyError: 'A1',
89,1,False,exec_error: KeyError: 'A1',
89,2,False,exec_error: TypeError: Invalid comparison between dtype=datetime64[us] and int,
89,3,True,,False
89,4,False,exec_error: KeyError: 'A1',
90,0,False,exec_error: KeyError: 'A1',
90,1,False,exec_error: KeyError: 'A1',
90,2,True,,False
90,3,False,exec_error: KeyError: 'A1',
90,4,False,exec_error: KeyError: 'A1',
91,0,False,exec_error: KeyError: 'year',
91,1,True,,False
91,2,False,exec_error: NameError: name 'loan_data' is not defined,
91,3,False,exec_error: KeyError: 'A1',
91,4,False,exec_error: KeyError: 'A1',
92,0,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
92,1,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
92,2,False,exec_error: TypeError: Invalid comparison between dtype=datetime64[us] and int,
92,3,False,exec_error: KeyError: 'Column not found: A1',
92,4,False,exec_error: KeyError: 'Column not found: A1',
93,0,False,exec_error: KeyError: 'A1',
93,1,False,exec_error: KeyError: 'A1',
93,2,True,,False
93,3,True,,False
93,4,False,exec_error: KeyError: 'A1',
94,0,False,exec_error: KeyError: 'Column not found: salary',
94,1,False,exec_error: KeyError: 'Column not found: salary',
94,2,False,exec_error: KeyError: 'Column not found: A1',
94,3,False,exec_error: AttributeError: 'Series' object has no attribute 'days',
94,4,False,exec_error: KeyError: 'Column not found: A1',
95,0,False,exec_error: KeyError: 'client_id',
95,1,False,exec_error: KeyError: 'Column not found: A1',
95,2,False,exec_error: AttributeError: 'Series' object has no attribute 'days',
95,3,False,"exec_error: ValueError: Cannot convert from timedelta64[us] to timedelta64[Y]. Supported resolutions are 's', 'ms', 'us', 'ns'",
95,4,False,exec_error: AttributeError: 'Series' object has no attribute 'days',
96,0,True,,False
96,1,True,,False
96,2,True,,False
96,3,True,,False
96,4,True,,False
97,0,True,,False
97,1,True,,False
97,2,True,,False
97,3,True,,False
97,4,True,,False
98,0,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
98,1,True,,False
98,2,True,,False
98,3,False,"exec_error: KeyError: ""['frequency', 'date_x', 'amount_x', 'duration_x', 'payments_x', 'status_x'] not in index""",
98,4,False,"exec_error: KeyError: ""['date'] not in index""",
99,0,False,exec_error: KeyError: 'date',
99,1,False,exec_error: KeyError: 'date',
99,2,False,exec_error: ValueError: len(right_on) must equal len(left_on),
99,3,False,exec_error: KeyError: 'date',
99,4,False,exec_error: KeyError: 'date',
100,0,False,exec_error: KeyError: '[77] not in index',
100,1,True,,False
100,2,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
100,3,True,,False
100,4,True,,False
101,0,True,,False
101,1,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
101,2,True,,False
101,3,True,,False
101,4,True,,False
102,0,True,,False
102,1,True,,False
102,2,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
102,3,False,exec_error: KeyError: 'date',
102,4,True,,False
103,0,True,,True
103,1,False,exec_error: KeyError: 'disp_id',
103,2,False,exec_error: KeyError: 'disp_id',
103,3,False,exec_error: KeyError: 'disp_id',
103,4,False,exec_error: KeyError: 'disp_id',
104,0,False,exec_error: KeyError: 'date',
104,1,True,,False
104,2,False,exec_error: KeyError: 'date',
104,3,True,,False
104,4,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
105,0,False,"exec_error: KeyError: ""None of [Index(['district_id_y'], dtype='str')] are in the [columns]""",
105,1,True,,False
105,2,True,,False
105,3,False,exec_error: KeyError: 'date',
105,4,False,"exec_error: KeyError: ""None of [Index(['district_id_x'], dtype='str')] are in the [columns]""",
106,0,False,exec_error: AttributeError: Can only use .dt accessor with datetimelike values,
106,1,False,exec_error: AttributeError: Can only use .dt accessor with datetimelike values,
106,2,True,,False
106,3,True,,True
106,4,False,exec_error: KeyError: 'account_id',
107,0,False,exec_error: KeyError: 'A1',
107,1,False,exec_error: AttributeError: 'Series' object has no attribute 'days',
107,2,False,exec_error: KeyError: 'Column not found: A1',
107,3,False,exec_error: KeyError: 'A16_x',
107,4,False,exec_error: KeyError: 'Column not found: salary',
108,0,True,,False
108,1,False,exec_error: KeyError: 'client_id',
108,2,True,,True
108,3,True,,False
108,4,False,exec_error: KeyError: 'date_x',
109,0,False,exec_error: KeyError: 'A1',
109,1,False,exec_error: KeyError: 'A1',
109,2,True,,False
109,3,False,exec_error: KeyError: 'A1',
109,4,False,exec_error: KeyError: 'A1',
110,0,True,,False
110,1,True,,False
110,2,True,,False
110,3,False,exec_error: KeyError: 'trans',
110,4,True,,False
111,0,True,,True
111,1,True,,False
111,2,True,,True
111,3,False,exec_error: IndexingError: Unalignable boolean Series provided as indexer (index of the boolean Series and of the indexed object do not match).,
111,4,True,,False
112,0,True,,False
112,1,True,,False
112,2,True,,False
112,3,True,,False
112,4,True,,False
113,0,False,exec_error: KeyError: 'date',
113,1,False,exec_error: KeyError: 'date',
113,2,False,exec_error: KeyError: 'date',
113,3,True,,False
113,4,False,exec_error: KeyError: 'date',
114,0,True,,False
114,1,False,exec_error: KeyError: 'account',
114,2,False,exec_error: KeyError: 'A1',
114,3,True,,True
114,4,False,exec_error: KeyError: 'A3',
115,0,False,exec_error: KeyError: 'A1',
115,1,True,,False
115,2,False,"exec_error: AttributeError: Can only use .str accessor with string values, not integer",
115,3,False,exec_error: KeyError: 'A1',
115,4,True,,False
116,0,False,exec_error: KeyError: 'date',
116,1,True,,False
116,2,False,exec_error: KeyError: 'client_id',
116,3,False,exec_error: KeyError: 'date',
116,4,False,exec_error: UnboundLocalError: cannot access local variable 'filtered_transactions' where it is not associated with a value,
117,0,True,,False
117,1,True,,False
117,2,True,,False
117,3,True,,False
117,4,True,,False
118,0,False,exec_error: KeyError: 'amount',
118,1,True,,False
118,2,True,,False
118,3,True,,False
118,4,True,,False
119,0,False,exec_error: TypeError: '<' not supported between instances of 'str' and 'int',
119,1,True,,False
119,2,False,exec_error: TypeError: '<' not supported between instances of 'Timestamp' and 'str',
119,3,False,"exec_error: KeyError: ""['A1'] not in index""",
119,4,False,exec_error: KeyError: 'statement_date',
120,0,True,,False
120,1,True,,False
120,2,False,exec_error: KeyError: 'A1',
120,3,True,,False
120,4,True,,False
121,0,True,,True
121,1,True,,True
121,2,True,,False
121,3,True,,True
121,4,True,,True
122,0,True,,True
122,1,True,,True
122,2,True,,True
122,3,False,"exec_error: KeyError: ""['A1'] not in index""",
122,4,False,"exec_error: KeyError: ""['A1'] not in index""",
123,0,False,"exec_error: KeyError: ""['A1'] not in index""",
123,1,False,"exec_error: KeyError: ""['A1'] not in index""",
123,2,False,"exec_error: KeyError: ""['A1'] not in index""",
123,3,True,,False
123,4,True,,True
124,0,False,exec_error: KeyError: 'Column not found: A1',
124,1,False,exec_error: KeyError: 'Column not found: A1',
124,2,False,exec_error: KeyError: 'Column not found: A1',
