question_id,question,hop_diameter,repeat_idx,condition,qwen_response
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,0,baseline,"```python
import pandas as pd

def compute_feature(account, card, client, disp, district, loan, order, trans):
    # Merge dataframes to get necessary information
    merged_df = pd.merge(account, disp, on='account_id')
    merged_df = pd.merge(merged_df, client, on='client_id')
    merged_df = pd.merge(merged_df, district, on='district_id')
    merged_df = pd.merge(merged_df, trans, on='account_id')

    # Filter accounts where issuance is after transaction
    merged_df['issuance_after_transaction'] = (merged_df['issued'] > merged_df['date']).astype(int)

    # Filter clients in East Bohemia region
    east_bohemia_regions = ['A1', 'A2', 'A3', 'A4']
    merged_df = merged_df[merged_df['A1'].isin(east_bohemia_regions)]

    # Calculate the number of accounts
    result = merged_df.groupby('account_id').agg({'issuance_after_transaction': 'sum'}).reset_index()
    
    return result
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,1,baseline,"```python
import pandas as pd

def calculate_feature(account, card, client, disp, district, loan, order, trans):
    # Merge tables to get necessary information
    merged = account.merge(client, left_on='district_id', right_on='district_id')
    merged = merged.merge(disp, on='account_id')
    merged = merged.merge(card, on='disp_id')
    merged = merged.merge(trans, on='account_id')

    # Filter transactions where type is 'W' (Withdrawal) and operation is 'VYBER'
    filtered_trans = merged[(merged['type'] == 'W') & (merged['operation'] == 'VYBER')]

    # Get account_ids from filtered transactions
    account_ids_with_transactions = filtered_trans['account_id'].unique()

    # Filter accounts where issued is 1 (Issued)
    issued_accounts = merged[merged['issued'] == 1]['account_id']

    # Calculate intersection of account_ids_with_transactions and issued_accounts
    common_account_ids = set(account_ids_with_transactions).intersection(set(issued_accounts))

    # Get districts of these common accounts
    common_districts = merged.loc[merged['account_id'].isin(common_account_ids), ['district_id', 'A1']].drop_duplicates()

    # Count number of accounts in East Bohemia region
    east_bohemia_count = common_districts[common_districts['A1'] == 'PLZ'].shape[0]

    return east_bohemia_count
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,2,baseline,"```python
import pandas as pd

def compute_feature(account, card, client, disp, district, loan, order, trans):
    # Merge dataframes to get necessary information
    merged = pd.merge(account, disp, how='inner', left_on='account_id', right_on='account_id')
    merged = pd.merge(merged, client, how='inner', left_on='client_id', right_on='client_id')
    merged = pd.merge(merged, district, how='inner', left_on='district_id', right_on='district_id')
    
    # Filter accounts where loan was issued after first transaction
    merged['first_transaction'] = merged.groupby('account_id')['date'].transform(min)
    mask = (merged['issued'] > merged['first_transaction']) & (merged['A3'] == 'East Bohemia')
    filtered_accounts = merged[mask]['account_id'].unique()
    
    return len(filtered_accounts)
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,3,baseline,"```python
import pandas as pd

def compute_feature(account, card, client, disp, district, loan, order, trans):
    # Merge account and district to get region information
    merged = pd.merge(account, district, on='district_id')
    
    # Filter accounts that were issued cards after transactions
    account['issued_after_transaction'] = account['date'].apply(lambda x: x > max(trans[trans['account_id'] == acc]['date']))
    filtered_accounts = account[account['issued_after_transaction']]
    
    # Get unique clients from these accounts
    unique_clients = filtered_accounts['client_id'].unique()
    
    # Keep only those clients who live in East Bohemia region (A13 column)
    east_bohemia_clients = merged[(merged['A13'] == 'East Bohemia') & (merged['client_id'].isin(unique_clients))]
    
    return len(east_bohemia_clients)
```"
89,How many accounts who choose issuance after transaction are staying in East Bohemia region?,1,4,baseline,"```python
import pandas as pd

def compute_feature(account, card, client, disp, district, loan, order, trans):
    # Merge necessary tables to get the required information
    merged = pd.merge(account, disp, on='account_id')
    merged = pd.merge(merged, client, on='client_id')
    merged = pd.merge(merged, district, on='district_id')
    merged = pd.merge(merged, trans, on='account_id', suffixes=('', '_trans'))
    
    # Filter for transactions before loan issuance and stay in East Bohemia region
    condition = (merged['date'] < merged['issued']) & (merged['A3'] == 'east bohemia')
    
    # Count distinct accounts meeting the conditions
    result = len(merged[condition]['account_id'].unique())
    
    return result
```"
90,How many accounts who have region in Prague are eligible for loans?,2,0,baseline,"```python
import pandas as pd

def feature_engineering(account, card, client, disp, district, loan):
    # Merge tables to get district information for each account
    merged = pd.merge(account, district, left_on='district_id', right_index=True)

    # Filter accounts in Prague
    prague_accounts = merged[merged['A1'] == 'Prague']

    # Get unique accounts from Prague
    unique_accounts = prague_accounts[['account_id']].drop_duplicates()

    # Merge with loan table to find eligible accounts
    eligible_accounts = pd.merge(unique_accounts, loan, on='account_id')

    return len(eligible_accounts)
```"
90,How many accounts who have region in Prague are eligible for loans?,2,1,baseline,"```python
import pandas as pd

def compute_feature(account, client, district):
    # Merge account and client dataframes to get client information for each account
    merged = pd.merge(account, client, left_on='client_id', right_on='client_id')
    
    # Merge the result with district data to get district information for each client
    merged = pd.merge(merged, district, left_on='district_id', right_on='district_id')
    
    # Filter rows where the region is 'Prague'
    prague_accounts = merged[merged['A13'] == 'Prague']
    
    # Count distinct accounts
    num_prague_accounts = prague_accounts['account_id'].nunique()
    
    return num_prague_accounts
```"
90,How many accounts who have region in Prague are eligible for loans?,2,2,baseline,"```python
import pandas as pd

def compute_feature(account, client, district):
    # Merge account and client tables to get client details
    merged_df = pd.merge(account, client, how='left', left_on='client_id', right_on='client_id')
    
    # Merge result with district table to get district details
    merged_df = pd.merge(merged_df, district, how='left', left_on='district_id', right_on='district_id')
    
    # Filter rows where region is 'Prague'
    prague_accounts = merged_df[merged_df['A3'] == 'Prague']
    
    # Count unique account_ids
    num_prague_accounts = len(prague_accounts['account_id'].unique())
    
    return num_prague_accounts
```"
90,How many accounts who have region in Prague are eligible for loans?,2,3,baseline,"```python
import pandas as pd

def count_eligible_accounts_for_loans(account, district):
    # Merge account and district dataframes to get region information for each account
    merged_df = pd.merge(account, district, left_on='district_id', right_index=True)
    
    # Filter rows where region is 'Prague'
    prague_accounts = merged_df[merged_df['A2'] == 'Prague']
    
    # Count the number of unique accounts
    num_eligible_accounts = prague_accounts['account_id'].nunique()
    
    return num_eligible_accounts
```"
90,How many accounts who have region in Prague are eligible for loans?,2,4,baseline,"```python
import pandas as pd

def count_eligible_accounts_for_loans(account, client, district):
    # Merge account and client dataframes to get client information for each account
    merged_df = pd.merge(account, client, how='left', left_on='client_id', right_on='client_id')
    
    # Merge the result with district dataframe to get region information for each account
    merged_df = pd.merge(merged_df, district, how='left', left_on='district_id', right_on='district_id')
    
    # Filter rows where region is 'Prague'
    prague_accounts = merged_df[merged_df['A1'] == 'Prague']
    
    # Count unique account_ids from the filtered DataFrame
    num_eligible_accounts = prague_accounts['account_id'].nunique()
    
    return num_eligible_accounts
```"
