question_id,repeat_idx,exec_ok,err,value_match
89,0,False,exec_error: FileNotFoundError: [Errno 2] No such file or directory: 'district.csv',
89,1,False,exec_error: IndexError: index 0 is out of bounds for axis 0 with size 0,
89,2,,,
89,3,False,exec_error: KeyError: 'issue',
89,4,False,exec_error: KeyError: 'issuance_after_transaction',
90,0,,,
90,1,True,,False
90,2,False,exec_error: KeyError: 'region',
90,3,True,,False
90,4,False,exec_error: FileNotFoundError: [Errno 2] No such file or directory: 'account.csv',
91,0,True,,False
91,1,False,exec_error: TypeError: unsupported operand type(s) for /: 'str' and 'str',
91,2,False,exec_error: TypeError: unsupported operand type(s) for /: 'str' and 'str',
91,3,False,exec_error: TypeError: unsupported operand type(s) for /: 'str' and 'str',
91,4,False,"exec_error: IndexError: Too many levels: Index has only 1 level, not 2",
92,0,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
92,1,False,"exec_error: TypeError: Invalid value '<StringArray>
[]
Length: 0, dtype: str' for dtype 'int64'",
92,2,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
92,3,True,,False
92,4,False,exec_error: ValueError: You are trying to merge on int64 and str columns for key 'client_id'. If you wish to proceed you should use pd.concat,
93,0,True,,False
93,1,False,exec_error: TypeError: Cannot perform reduction 'mean' with string dtype,
93,2,False,exec_error: ValueError: You are trying to merge on str and int64 columns for key 'A2'. If you wish to proceed you should use pd.concat,
93,3,True,,False
93,4,True,,False
94,0,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
94,1,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
94,2,False,exec_error: KeyError: 'average_salary_frequency',
94,3,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
94,4,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
95,0,False,exec_error: KeyError: 'client_id',
95,1,False,exec_error: KeyError: 'salary',
95,2,False,exec_error: AttributeError: 'numpy.int64' object has no attribute 'to_frame',
95,3,False,exec_error: KeyError: 'Column not found: salary',
95,4,False,exec_error: KeyError: 'amount',
96,0,False,exec_error: KeyError: 'type',
96,1,True,,False
96,2,False,exec_error: KeyError: 'account_id',
96,3,True,,False
96,4,True,,False
97,0,False,exec_error: KeyError: 'type_x',
97,1,True,,False
97,2,False,exec_error: UnboundLocalError: cannot access local variable 'disp' where it is not associated with a value,
97,3,False,exec_error: UnboundLocalError: cannot access local variable 'disp' where it is not associated with a value,
97,4,False,exec_error: KeyError: 'client_id',
98,0,False,exec_error: KeyError: 'date',
98,1,False,exec_error: KeyError: 'date',
98,2,False,exec_error: KeyError: 'date',
98,3,False,exec_error: KeyError: 'date',
98,4,False,exec_error: KeyError: 'date',
99,0,True,,False
99,1,False,exec_error: KeyError: 'date',
99,2,False,exec_error: KeyError: 'date',
99,3,False,"exec_error: ValueError: Units 'M', 'Y', and 'y' are no longer supported, as they do not represent unambiguous timedelta values durations.",
99,4,False,"exec_error: ValueError: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().",
100,0,False,exec_error: NameError: name 'account_opened' is not defined,
100,1,False,exec_error: KeyError: 'client_id',
100,2,False,exec_error: KeyError: 'A1',
100,3,False,exec_error: KeyError: 'client_id',
100,4,False,exec_error: KeyError: 'account_opened',
101,0,False,exec_error: KeyError: 'date',
101,1,False,exec_error: KeyError: 'date',
101,2,False,exec_error: KeyError: 'date',
101,3,False,exec_error: KeyError: 'date',
101,4,False,exec_error: KeyError: 'date',
102,0,True,,False
102,1,False,exec_error: KeyError: 'date_x',
102,2,False,exec_error: KeyError: 'account_id',
102,3,True,,False
102,4,False,exec_error: KeyError: 'amount',
103,0,False,exec_error: KeyError: 'issue_date',
103,1,False,exec_error: KeyError: 'disp_date',
103,2,False,exec_error: KeyError: 'issue_date',
103,3,False,exec_error: KeyError: 'issue_date',
103,4,False,exec_error: KeyError: 'issue_date',
104,0,False,exec_error: KeyError: 'date',
104,1,False,exec_error: KeyError: 'date_y',
104,2,False,exec_error: KeyError: 'date',
104,3,False,exec_error: KeyError: 'date_x',
104,4,True,,False
105,0,False,exec_error: KeyError: 'date',
105,1,True,,False
105,2,False,exec_error: KeyError: 'district_id_x',
105,3,False,exec_error: KeyError: 'loan_id',
105,4,True,,True
