question_id,repeat_idx,exec_ok,err,value_match
89,0,False,exec_error: NameError: name 'accounts' is not defined,
89,1,True,,False
89,2,False,exec_error: TypeError: Invalid comparison between dtype=datetime64[us] and str,
89,3,False,exec_error: TypeError: Invalid comparison between dtype=datetime64[us] and str,
89,4,True,,False
90,0,True,,False
90,1,True,,False
90,2,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
90,3,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
90,4,True,,False
91,0,False,exec_error: KeyError: 'A1',
91,1,False,exec_error: KeyError: 'A1',
91,2,False,exec_error: NameError: name 'your_database_connection' is not defined,
91,3,False,exec_error: KeyError: 'A1',
91,4,False,exec_error: KeyError: 'A1',
92,0,False,exec_error: KeyError: 'Column not found: A2',
92,1,False,exec_error: KeyError: 'A1',
92,2,False,exec_error: KeyError: 'Column not found: salary',
92,3,False,exec_error: KeyError: 'Column not found: A1',
92,4,False,exec_error: KeyError: 'Column not found: salary',
93,0,True,,False
93,1,False,exec_error: TypeError: '>' not supported between instances of 'ellipsis' and 'int',
93,2,False,exec_error: KeyError: 'A1',
93,3,False,exec_error: KeyError: 'salary',
93,4,False,exec_error: KeyError: 'A1',
94,0,False,exec_error: KeyError: 'Column not found: A1',
94,1,False,exec_error: KeyError: 'Column not found: A1',
94,2,False,"exec_error: TypeError: can only concatenate str (not ""int"") to str",
94,3,False,exec_error: KeyError: 'A1',
94,4,False,exec_error: KeyError: 'A1',
95,0,False,exec_error: KeyError: 'Column not found: salary',
95,1,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
95,2,False,"exec_error: KeyError: ""Label(s) ['salary'] do not exist""",
95,3,False,"exec_error: KeyError: ""Label(s) ['salary'] do not exist""",
95,4,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
96,0,True,,False
96,1,True,,False
96,2,True,,False
96,3,True,,False
96,4,True,,False
97,0,True,,False
97,1,True,,False
97,2,False,exec_error: TypeError: '>' not supported between instances of 'str' and 'int',
97,3,False,exec_error: KeyError: 'date',
97,4,True,,False
98,0,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
98,1,False,"exec_error: KeyError: 'None of [RangeIndex(start=8268, stop=8269, step=1)] are in the [index]'",
98,2,True,,False
98,3,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
98,4,False,"exec_error: KeyError: ""['district_id', 'frequency'] not in index""",
99,0,False,exec_error: KeyError: 'date',
99,1,False,exec_error: KeyError: 'date',
99,2,False,"exec_error: TypeError: Addition/subtraction of integers and integer-arrays with DatetimeArray is no longer supported.  Instead of adding/subtracting `n`, use `n * obj.freq`",
99,3,False,exec_error: KeyError: 'date',
99,4,False,exec_error: KeyError: 'date',
100,0,True,,False
100,1,True,,False
100,2,True,,False
100,3,True,,False
100,4,True,,False
101,0,True,,False
101,1,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
101,2,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
101,3,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
101,4,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
102,0,True,,True
102,1,True,,False
102,2,True,,False
102,3,True,,False
102,4,True,,False
103,0,False,"exec_error: ValueError: to assemble mappings requires at least that [year, month, day] be specified: [day,month,year] is missing",
103,1,False,exec_error: KeyError: 'issue_date',
103,2,False,exec_error: KeyError: 'issue_date',
103,3,False,exec_error: TypeError: unhashable type: 'DataFrame',
103,4,True,,False
104,0,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
104,1,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
104,2,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
104,3,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
104,4,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
105,0,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
105,1,False,exec_error: TypeError: Cannot perform 'and_' with a dtyped [float64] array and scalar of type [bool],
105,2,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
105,3,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
105,4,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
106,0,True,,False
106,1,True,,False
106,2,False,exec_error: KeyError: 'disp_id',
106,3,False,exec_error: KeyError: 'Column not found: amount',
106,4,False,exec_error: KeyError: 'amount',
107,0,False,exec_error: KeyError: 'Column not found: A1',
107,1,False,exec_error: KeyError: 'A1',
107,2,False,exec_error: KeyError: 'Column not found: A1',
107,3,False,exec_error: KeyError: 'Column not found: A1',
