file,phase,condition,model,question_id,repeat_idx,hop_diameter,gold_has_disp,step1_status,n_merge,code
llama_after_baseline,after,baseline,llama,89,0,1,False,ok,4.0,"import pandas as pd

def compute_feature():
    # Merge client with district to get region
    client_district = pd.merge(client, district, left_on='district_id', right_on='district_id', suffixes=('_client', '_district'))

    # Merge client_district with card to get issuance type
    client_district_card = pd.merge(client_district, card, left_on='client_id', right_on='client_id', suffixes=('_client', '_card'))

    # Filter for transactions
    transactions = trans[trans['type'] == 'T']
    transactions = transactions[transactions['operation'] == 'I']

    # Merge transactions with client_district_card to get issuance after transaction
    issuance_after_transaction = pd.merge(client_district_card, transactions, left_on='account_id', right_on='account_id', suffixes=('_card', '_transaction'))

    # Filter for East Bohemia region
    east_bohemia = district[district['A2'] == 'East Bohemia']
    east_bohemia = east_bohemia[east_bohemia['A3'] == 'Bohemia']

    # Merge issuance_after_transaction with east_bohemia to get account IDs
    account_ids = pd.merge(issuance_after_transaction, east_bohemia, left_on='district_id', right_on='district_id', suffixes=('_transaction', '_bohemia'))

    # Compute feature
    feature = account_ids['account_id'].value_counts().reset_index()
    feature.columns = ['account_id', 'count']
    feature = feature[feature['count'] > 0]

    return feature"
llama_after_baseline,after,baseline,llama,89,1,1,False,parse_fail,,"import pandas as pd

def compute_feature():
    # Merge account, card, client, disp, district, loan, order, trans into one DataFrame
    merged = pd.merge(pd.merge(pd.merge(pd.merge(pd.merge(pd.merge(pd.merge(pd.merge(pd.merge(pd.merge(pd.merge(pd.merge(account, card), client), district), 'left' if 'client' in locals() else 'right'), 'left' if 'district' in locals() else 'right'), loan, 'left' if 'loan' in locals() else 'right'), order, 'left' if 'order' in locals() else 'right'), trans, 'left' if 'trans' in locals() else 'right'), disp, 'left' if 'disp' in locals() else 'right'), 'left' if 'merged' in locals() else 'right'), card, 'left' if 'card' in locals() else 'right'), client, 'left' if 'client' in locals() else 'right'), district, 'left' if 'district' in locals() else 'right'), loan, 'left' if 'loan' in locals() else 'right'), order, 'left' if 'order' in locals() else 'right'), trans, 'left' if 'trans' in locals() else 'right'), disp, 'left' if 'disp' in locals() else 'right'))

    # Extract relevant columns
    merged = merged[['account_id', 'date', 'amount', 'duration', 'payments', 'status', 'bank_to', 'account_to', 'amount', 'k_symbol', 'bank', 'account', 'type', 'operation', 'amount', 'balance', 'k_symbol', 'bank', 'account', 'disp_id', 'client_id', 'account_id', 'type', 'issued', 'district_id', 'gender', 'birth_date', 'district_id', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16', 'loan_id', 'account_id', 'date', 'amount', 'duration', 'payments', 'status', 'order_id', 'account_id', 'bank_to', 'account_to', 'amount', 'k_symbol', 'bank', 'account', 'type', 'issued', 'date', 'type', 'operation', 'amount', 'balance', 'k_symbol', 'bank', 'account', 'disp_id', 'account_id', 'type', 'issued', 'district_id', 'loan_id', 'account_id', 'date', 'amount', 'duration', 'payments', 'status']]

    # Convert date columns to datetime
    merged['date'] = pd.to_datetime(merged['date'])
    merged['issued'] = pd.to_datetime(merged['issued'])
    merged['date_x'] = pd.to_datetime(merged['date_x'])
    merged['date_y'] = pd.to_datetime(merged['date_y'])

    # Extract transaction date, account status, and account type
    transaction_date = merged['date_y']
    account_status = merged['status']
    account_type = merged['type_x']

    # Extract issuance date and account type
    issuance_date = merged['issued']
    account_type_issued = merged['type_y']

    # Merge account status and account type with account type and issuance date
    merged = pd.merge(pd.merge(account_status, account_type, on='account_id'), pd.merge(account_type_issued, issuance_date, on='account_id'), on='account_id')

    # Filter for accounts who choose issuance after transaction
    merged = merged[merged['date_y'] < merged['issued']]

    # Filter for accounts staying in East Bohemia region
    merged = merged[merged['A2'] == 'East Bohemia']

    # Count the number of accounts
    result = merged.shape[0]

    return result"
llama_after_baseline,after,baseline,llama,89,2,1,False,ok,6.0,"import pandas as pd

def compute_feature():
    # Merge client with district to get region
    client_district = pd.merge(client, district, left_on='district_id', right_on='district_id')
    
    # Merge client_district with account to get account region
    account_district = pd.merge(account, client_district, left_on='district_id', right_on='district_id')
    
    # Merge account_district with card to get issuance after transaction
    account_district_card = pd.merge(account_district, card, left_on='account_id', right_on='account_id')
    
    # Merge account_district_card with trans to get transaction after issuance
    account_district_card_trans = pd.merge(account_district_card, trans, left_on='account_id', right_on='account_id')
    
    # Filter accounts who choose issuance after transaction
    filtered_accounts = account_district_card_trans[account_district_card_trans['issued'] > account_district_card_trans['date']]
    
    # Merge filtered_accounts with client_district to get region
    filtered_accounts_region = pd.merge(filtered_accounts, client_district, left_on='account_id', right_on='account_id')
    
    # Merge filtered_accounts_region with district to get region name
    filtered_accounts_region_district = pd.merge(filtered_accounts_region, district, left_on='district_id', right_on='district_id')
    
    # Filter East Bohemia region
    east_bohemia_region = filtered_accounts_region_district[filtered_accounts_region_district['A2'] == 'East Bohemia']
    
    # Count accounts in East Bohemia region
    count = east_bohemia_region.shape[0]
    
    return count"
llama_after_baseline,after,baseline,llama,89,3,1,False,ok,3.0,"import pandas as pd

def compute_feature(trans, card, client, district):
    # Merge transaction and card tables on card_id
    merged = pd.merge(trans, card, on='card_id')

    # Merge with client table on client_id
    merged = pd.merge(merged, client, on='client_id')

    # Merge with district table on district_id
    merged = pd.merge(merged, district, on='district_id')

    # Filter accounts who choose issuance after transaction
    filtered = merged[(merged['type_y'] == 'issuance') & (merged['operation'] == 'transaction')]

    # Filter accounts staying in East Bohemia region
    filtered = filtered[filtered['A2'] == 'East Bohemia']

    # Count the number of accounts
    result = filtered['account_id'].nunique()

    return result"
llama_after_baseline,after,baseline,llama,89,4,1,False,ok,5.0,"import pandas as pd

def compute_feature():
    # Merge account, client, district, and card tables
    merged = pd.merge(account, client, on='district_id')
    merged = pd.merge(merged, district, on='district_id')
    merged = pd.merge(merged, card, on='disp_id')

    # Filter accounts who choose issuance after transaction
    issuance_after_trans = merged[merged['type_x'] == 'issue' & merged['type_y'] == 'trans']

    # Merge with loan and trans tables
    merged = pd.merge(issuance_after_trans, loan, on='account_id')
    merged = pd.merge(merged, trans, on='account_id')

    # Filter accounts who are staying in East Bohemia region
    east_bohemia = merged[merged['A2'] == 1]

    # Count the number of accounts
    count = east_bohemia.shape[0]

    return count"
llama_after_baseline,after,baseline,llama,90,0,2,False,ok,2.0,"import pandas as pd

def compute_feature():
    # Merge account and district tables based on district_id
    account_district = pd.merge(account, district, left_on='district_id', right_on='district_id', how='left')
    
    # Extract region information from merged table
    region = account_district[['account_id', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16']]
    
    # Filter accounts who have region in Prague
    prague_region = region[(region['A2'] == 'Praha') | (region['A3'] == 'Praha') | (region['A4'] == 'Praha') | (region['A5'] == 'Praha') | (region['A6'] == 'Praha') | (region['A7'] == 'Praha') | (region['A8'] == 'Praha') | (region['A9'] == 'Praha') | (region['A10'] == 'Praha') | (region['A11'] == 'Praha') | (region['A12'] == 'Praha') | (region['A13'] == 'Praha') | (region['A14'] == 'Praha') | (region['A15'] == 'Praha') | (region['A16'] == 'Praha')]
    
    # Merge filtered accounts with loan table based on account_id
    eligible_loans = pd.merge(prague_region, loan, left_on='account_id', right_on='account_id', how='inner')
    
    # Compute feature: count of eligible loans per account
    feature = eligible_loans['account_id'].value_counts().to_frame('eligible_loans')
    
    return feature"
llama_after_baseline,after,baseline,llama,90,1,2,False,ok,2.0,"import pandas as pd

def compute_feature(df_account, df_district, df_loan):
    # Merge account and district tables based on district_id
    merged = pd.merge(df_account, df_district, left_on='district_id', right_on='district_id', how='left')
    
    # Compute region feature
    merged['region'] = merged['A2'] + merged['A3'] + merged['A4'] + merged['A5'] + merged['A6'] + merged['A7'] + merged['A8'] + merged['A9'] + merged['A10'] + merged['A11'] + merged['A12'] + merged['A13'] + merged['A14'] + merged['A15'] + merged['A16']
    
    # Merge with loan table to get only accounts who have a loan
    merged = pd.merge(merged, df_loan, left_on='account_id', right_on='account_id', how='left')
    
    # Filter for accounts who have a loan in Prague
    prague_loans = merged[(merged['region'].str.startswith('P')).fillna(False) & (merged['status'].notnull())]
    
    return prague_loans.shape[0]"
llama_after_baseline,after,baseline,llama,90,2,2,False,ok,2.0,"import pandas as pd

def compute_feature(trans, district, account):
    # Merge district with account to get region info
    merged = pd.merge(account, district, left_on='district_id', right_on='district_id')
    
    # Filter accounts in Prague region
    prague_accounts = merged[merged['A2'] == 'Praha']
    
    # Merge with trans to get loan status
    merged = pd.merge(prague_accounts, trans, left_on='account_id', right_on='account_id')
    
    # Filter eligible accounts
    eligible_accounts = merged[merged['status'] == 'eligible']
    
    # Return count of eligible accounts
    return eligible_accounts.shape[0]"
llama_after_baseline,after,baseline,llama,90,3,2,False,ok,2.0,"import pandas as pd

def compute_feature(df_account, df_district, df_loan):
    # Merge account and district tables on district_id
    merged = pd.merge(df_account, df_district, left_on='district_id', right_on='district_id', suffixes=('', '_district'))

    # Compute feature
    feature = merged.merge(df_loan, left_on='account_id', right_on='account_id', suffixes=('', '_loan'))

    # Filter for accounts in Prague
    prague_accounts = feature[feature['A2'] == 'Praha']

    # Count eligible accounts
    eligible_count = prague_accounts['account_id'].nunique()

    return eligible_count"
llama_after_baseline,after,baseline,llama,90,4,2,False,ok,3.0,"import pandas as pd

def compute_feature():
    # Merge client with district to get region
    client = pd.merge(client, district, left_on='district_id', right_on='district_id', suffixes=('', '_district'))
    
    # Filter clients from Prague
    prague_clients = client[client['A2'] == 'Praha']
    
    # Merge with account to get account_id
    prague_accounts = pd.merge(prague_clients, account, left_on='client_id', right_on='client_id', suffixes=('', '_account'))
    
    # Merge with loan to get status
    loan_status = pd.merge(prague_accounts, loan, left_on='account_id', right_on='account_id', suffixes=('', '_loan'))
    
    # Compute feature
    feature = loan_status[loan_status['status'] == 'Approved']['account_id'].nunique()
    
    return feature"
