question_id,repeat_idx,exec_ok,err,value_match
89,0,True,,False
89,1,False,exec_error: KeyError: 'type',
89,2,False,exec_error: ValueError: Can only compare identically-labeled Series objects,
89,3,False,exec_error: KeyError: 'account_id',
89,4,False,exec_error: KeyError: 'account_id',
90,0,False,exec_error: KeyError: 'A1',
90,1,True,,False
90,2,False,exec_error: KeyError: 'A1',
90,3,True,,False
90,4,True,,False
91,0,False,exec_error: KeyError: 'date',
91,1,False,exec_error: NameError: name 'feature_df' is not defined,
91,2,,,
91,3,,,
91,4,False,exec_error: KeyError: 'date',
92,0,False,exec_error: KeyError: 'disp_id',
92,1,False,exec_error: KeyError: 'client_id',
92,2,False,"exec_error: KeyError: ""['salary'] not in index""",
92,3,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
92,4,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
93,0,False,exec_error: KeyError: 'amount',
93,1,False,exec_error: KeyError: 'client_id',
93,2,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
93,3,False,exec_error: TypeError: dtype 'str' does not support operation 'mean',
93,4,True,,False
94,0,False,exec_error: KeyError: 'client_id',
94,1,False,exec_error: KeyError: 'account_id',
94,2,False,exec_error: KeyError: 'client_id',
94,3,False,exec_error: KeyError: 'account_id',
94,4,False,exec_error: KeyError: 'account_id',
95,0,False,exec_error: KeyError: 'client_id',
95,1,False,exec_error: KeyError: 'disp_id',
95,2,False,exec_error: KeyError: 'birth_date',
95,3,False,exec_error: KeyError: 'client_id',
95,4,False,exec_error: KeyError: 'account_id',
96,0,False,exec_error: KeyError: 'account_id',
96,1,False,exec_error: KeyError: 'client_id',
96,2,False,exec_error: KeyError: 'frequency',
96,3,False,exec_error: KeyError: 'disp_id',
96,4,False,exec_error: KeyError: 'frequency',
97,0,False,exec_error: KeyError: 'disp_id',
97,1,False,exec_error: KeyError: 'client_id',
97,2,False,exec_error: KeyError: 'disp_id',
97,3,False,exec_error: TypeError: unsupported operand type(s) for &: 'str' and 'StringArray',
97,4,False,exec_error: ValueError: Can only compare identically-labeled Series objects,
98,0,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
98,1,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
98,2,False,exec_error: KeyError: 'date',
98,3,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
98,4,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
99,0,False,exec_error: KeyError: 'issued',
99,1,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
99,2,False,exec_error: TypeError: unsupported operand type(s) for -: 'Timestamp' and 'str',
99,3,False,exec_error: KeyError: 'date',
99,4,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
100,0,True,,False
100,1,False,exec_error: AttributeError: 'Timestamp' object has no attribute 'split',
100,2,False,exec_error: KeyError: 'client_id',
100,3,True,,False
100,4,True,,False
101,0,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
101,1,False,exec_error: KeyError: 'date',
101,2,False,exec_error: KeyError: 'trans',
101,3,False,exec_error: NameError: name 'accounts' is not defined,
101,4,False,"exec_error: AttributeError: Can only use .str accessor with string values, not datetime64",
102,0,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
102,1,True,,False
102,2,False,exec_error: AttributeError: 'numpy.ndarray' object has no attribute 'isin',
102,3,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
102,4,False,exec_error: KeyError: 'date',
103,0,False,exec_error: FileNotFoundError: [Errno 2] No such file or directory: 'card.csv',
103,1,True,,False
103,2,False,exec_error: KeyError: 'disp_id',
103,3,False,exec_error: KeyError: 'disp_id',
103,4,False,exec_error: FileNotFoundError: [Errno 2] No such file or directory: 'card.csv',
104,0,True,,True
104,1,False,exec_error: IndexError: single positional indexer is out-of-bounds,
104,2,False,exec_error: ValueError: Can only compare identically-labeled Series objects,
104,3,True,,False
104,4,True,,True
105,0,False,exec_error: IndexError: index 0 is out of bounds for axis 0 with size 0,
105,1,False,exec_error: KeyError: 'district_id',
105,2,False,exec_error: IndexError: index 0 is out of bounds for axis 0 with size 0,
105,3,False,exec_error: KeyError: 'disp_id',
105,4,True,,True
106,0,False,exec_error: FileNotFoundError: [Errno 2] No such file or directory: 'account.csv',
106,1,False,exec_error: KeyError: 'issued',
106,2,False,exec_error: KeyError: 'client_id',
106,3,False,"exec_error: ValueError: Operands are not aligned. Do `left, right = left.align(right, axis=1)` before operating.",
106,4,False,exec_error: KeyError: 'client_id',
